都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計
01,北海道,01100,札幌市,"1,386 ",261 ,62 ,"1,709 ","5,201 ","5,507 ","10,708 ","1,566 ",742 ,146 ,0 ,"2,455 ",103 ,"14,974 "
01,北海道,01202,函館市,505 ,35 ,26 ,566 ,711 ,793 ,"1,503 ",274 ,143 ,21 ,187 ,624 ,34 ,"2,727 "
01,北海道,01203,小樽市,458 ,12 ,10 ,479 ,309 ,369 ,678 ,100 ,62 ,10 ,66 ,237 ,15 ,"1,410 "
01,北海道,01204,旭川市,477 ,48 ,45 ,570 ,879 ,968 ,"1,847 ",359 ,197 ,27 ,0 ,582 ,15 ,"3,014 "
01,北海道,01205,室蘭市,"3,468 ",20 ,1 ,"3,490 ",241 ,263 ,504 ,93 ,46 ,7 ,52 ,197 ,12 ,"4,202 "
01,北海道,01206,釧路市,687 ,25 ,47 ,758 ,459 ,520 ,979 ,199 ,131 ,14 ,71 ,415 ,30 ,"2,183 "
01,北海道,01207,帯広市,354 ,28 ,50 ,433 ,475 ,462 ,937 ,202 ,137 ,13 ,0 ,352 ,15 ,"1,736 "
01,北海道,01208,北見市,344 ,19 ,81 ,444 ,300 ,337 ,636 ,141 ,108 ,9 ,0 ,258 ,13 ,"1,353 "
01,北海道,01209,夕張市,60 ,1 ,3 ,64 ,22 ,32 ,53 ,10 ,7 ,1 ,0 ,18 ,0 ,135 
01,北海道,01210,岩見沢市,151 ,10 ,59 ,220 ,182 ,235 ,417 ,90 ,65 ,7 ,0 ,161 ,1 ,800 
01,北海道,01211,網走市,89 ,6 ,45 ,140 ,98 ,102 ,200 ,43 ,34 ,3 ,5 ,85 ,0 ,425 
01,北海道,01212,留萌市,42 ,5 ,6 ,52 ,64 ,67 ,131 ,23 ,16 ,2 ,4 ,45 ,0 ,227 
01,北海道,01213,苫小牧市,"3,213 ",33 ,21 ,"3,268 ",423 ,470 ,894 ,193 ,171 ,13 ,187 ,564 ,20 ,"4,746 "
01,北海道,01214,稚内市,141 ,7 ,22 ,170 ,95 ,104 ,199 ,40 ,30 ,3 ,45 ,118 ,0 ,487 
01,北海道,01215,美唄市,45 ,4 ,17 ,66 ,50 ,68 ,118 ,26 ,21 ,2 ,0 ,48 ,0 ,232 
01,北海道,01216,芦別市,40 ,2 ,10 ,51 ,29 ,47 ,76 ,16 ,11 ,1 ,0 ,28 ,0 ,155 
01,北海道,01217,江別市,251 ,11 ,27 ,288 ,179 ,302 ,481 ,111 ,51 ,9 ,0 ,171 ,23 ,963 
01,北海道,01218,赤平市,58 ,2 ,3 ,63 ,22 ,36 ,58 ,12 ,8 ,1 ,0 ,20 ,0 ,141 
01,北海道,01219,紋別市,136 ,4 ,13 ,152 ,56 ,68 ,124 ,27 ,24 ,2 ,3 ,55 ,0 ,331 
01,北海道,01220,士別市,29 ,4 ,30 ,63 ,44 ,55 ,99 ,23 ,22 ,2 ,0 ,46 ,0 ,208 
01,北海道,01221,名寄市,43 ,4 ,17 ,63 ,81 ,80 ,161 ,31 ,24 ,2 ,0 ,57 ,8 ,289 
01,北海道,01222,三笠市,45 ,2 ,6 ,53 ,19 ,30 ,49 ,9 ,6 ,1 ,0 ,16 ,0 ,117 
01,北海道,01223,根室市,163 ,3 ,36 ,202 ,66 ,72 ,138 ,31 ,29 ,2 ,7 ,70 ,7 ,417 
01,北海道,01224,千歳市,634 ,9 ,24 ,666 ,263 ,253 ,517 ,114 ,49 ,7 ,0 ,171 ,7 ,"1,360 "
01,北海道,01225,滝川市,31 ,7 ,13 ,51 ,102 ,118 ,220 ,45 ,28 ,3 ,0 ,77 ,1 ,349 
01,北海道,01226,砂川市,74 ,5 ,8 ,87 ,46 ,50 ,96 ,19 ,13 ,1 ,0 ,34 ,1 ,218 
01,北海道,01227,歌志内市,3 ,1 ,0 ,4 ,7 ,12 ,19 ,4 ,2 ,0 ,0 ,6 ,0 ,29 
01,北海道,01228,深川市,12 ,3 ,13 ,28 ,54 ,62 ,116 ,23 ,22 ,2 ,0 ,47 ,1 ,191 
01,北海道,01229,富良野市,22 ,4 ,48 ,73 ,60 ,56 ,115 ,26 ,26 ,2 ,0 ,53 ,0 ,242 
01,北海道,01230,登別市,44 ,6 ,8 ,58 ,86 ,138 ,224 ,53 ,26 ,4 ,0 ,83 ,10 ,375 
01,北海道,01231,恵庭市,372 ,7 ,21 ,399 ,133 ,171 ,304 ,70 ,33 ,5 ,0 ,108 ,0 ,811 
01,北海道,01233,伊達市,41 ,5 ,28 ,74 ,74 ,99 ,173 ,38 ,25 ,3 ,0 ,66 ,4 ,317 
01,北海道,01234,北広島市,187 ,7 ,15 ,209 ,120 ,146 ,266 ,62 ,43 ,5 ,0 ,109 ,0 ,584 
01,北海道,01235,石狩市,269 ,10 ,21 ,300 ,131 ,149 ,280 ,66 ,63 ,5 ,4 ,137 ,9 ,725 
01,北海道,01236,北斗市,165 ,7 ,9 ,181 ,78 ,120 ,198 ,52 ,38 ,4 ,0 ,94 ,3 ,476 
01,北海道,01303,当別町,11 ,3 ,20 ,34 ,31 ,42 ,73 ,19 ,17 ,1 ,0 ,37 ,0 ,144 
01,北海道,01304,新篠津村,0 ,0 ,17 ,17 ,6 ,8 ,14 ,4 ,6 ,0 ,0 ,11 ,0 ,42 
01,北海道,01331,松前町,12 ,1 ,4 ,17 ,12 ,24 ,37 ,7 ,5 ,1 ,1 ,14 ,1 ,69 
01,北海道,01332,福島町,9 ,1 ,1 ,12 ,8 ,13 ,20 ,5 ,3 ,0 ,0 ,8 ,1 ,41 
01,北海道,01333,知内町,15 ,1 ,5 ,22 ,6 ,12 ,18 ,5 ,5 ,0 ,0 ,11 ,1 ,51 
01,北海道,01334,木古内町,5 ,1 ,2 ,8 ,10 ,13 ,23 ,5 ,4 ,0 ,0 ,9 ,1 ,42 
01,北海道,01337,七飯町,108 ,3 ,6 ,117 ,40 ,72 ,112 ,31 ,23 ,2 ,0 ,56 ,3 ,288 
01,北海道,01343,鹿部町,15 ,0 ,1 ,16 ,6 ,10 ,16 ,5 ,6 ,0 ,0 ,11 ,1 ,44 
01,北海道,01345,森町,112 ,2 ,9 ,123 ,30 ,44 ,74 ,19 ,21 ,1 ,2 ,43 ,2 ,241 
01,北海道,01346,八雲町,79 ,3 ,23 ,105 ,37 ,48 ,84 ,19 ,20 ,1 ,0 ,40 ,2 ,231 
01,北海道,01347,長万部町,21 ,1 ,5 ,26 ,11 ,17 ,28 ,6 ,6 ,0 ,0 ,12 ,1 ,67 
01,北海道,01361,江差町,4 ,1 ,2 ,7 ,24 ,24 ,48 ,9 ,7 ,1 ,8 ,24 ,1 ,80 
01,北海道,01362,上ノ国町,5 ,1 ,5 ,11 ,6 ,15 ,21 ,5 ,5 ,0 ,0 ,11 ,0 ,43 
01,北海道,01363,厚沢部町,7 ,1 ,8 ,16 ,8 ,11 ,19 ,5 ,8 ,0 ,0 ,13 ,0 ,49 
01,北海道,01364,乙部町,7 ,1 ,2 ,11 ,5 ,11 ,16 ,4 ,4 ,0 ,0 ,8 ,0 ,35 
01,北海道,01367,奥尻町,1 ,1 ,1 ,3 ,8 ,9 ,17 ,3 ,4 ,0 ,10 ,16 ,0 ,36 
01,北海道,01370,今金町,1 ,1 ,10 ,12 ,11 ,14 ,25 ,6 ,7 ,0 ,0 ,13 ,0 ,51 
01,北海道,01371,せたな町,2 ,2 ,4 ,8 ,17 ,25 ,42 ,9 ,10 ,1 ,3 ,23 ,0 ,74 
01,北海道,01391,島牧村,0 ,0 ,1 ,1 ,3 ,5 ,8 ,2 ,2 ,0 ,0 ,4 ,0 ,13 
01,北海道,01392,寿都町,8 ,1 ,3 ,11 ,7 ,10 ,17 ,3 ,3 ,0 ,0 ,6 ,0 ,35 
01,北海道,01393,黒松内町,7 ,1 ,2 ,9 ,7 ,9 ,16 ,3 ,2 ,0 ,0 ,6 ,0 ,31 
01,北海道,01394,蘭越町,0 ,2 ,9 ,11 ,10 ,13 ,23 ,5 ,8 ,0 ,0 ,14 ,0 ,48 
01,北海道,01395,ニセコ町,1 ,0 ,1 ,3 ,9 ,13 ,22 ,5 ,6 ,0 ,0 ,11 ,0 ,36 
01,北海道,01396,真狩村,0 ,0 ,3 ,4 ,4 ,5 ,9 ,3 ,5 ,0 ,0 ,8 ,0 ,20 
01,北海道,01397,留寿都村,3 ,0 ,2 ,5 ,7 ,5 ,12 ,2 ,3 ,0 ,0 ,6 ,0 ,22 
01,北海道,01398,喜茂別町,3 ,0 ,1 ,5 ,4 ,7 ,11 ,2 ,3 ,0 ,0 ,5 ,0 ,21 
01,北海道,01399,京極町,11 ,1 ,6 ,18 ,10 ,8 ,18 ,4 ,4 ,0 ,0 ,8 ,0 ,44 
01,北海道,01400,倶知安町,13 ,2 ,12 ,27 ,45 ,43 ,88 ,16 ,14 ,1 ,0 ,32 ,1 ,148 
01,北海道,01401,共和町,15 ,2 ,5 ,22 ,10 ,16 ,26 ,7 ,10 ,0 ,0 ,17 ,0 ,67 
01,北海道,01402,岩内町,34 ,4 ,1 ,39 ,28 ,40 ,68 ,13 ,8 ,1 ,1 ,24 ,1 ,132 
01,北海道,01403,泊村,0 ,2 ,0 ,2 ,6 ,5 ,11 ,2 ,1 ,0 ,0 ,4 ,0 ,18 
01,北海道,01404,神恵内村,0 ,0 ,1 ,1 ,2 ,3 ,5 ,1 ,1 ,0 ,0 ,2 ,0 ,8 
01,北海道,01405,積丹町,0 ,0 ,1 ,1 ,5 ,7 ,12 ,2 ,2 ,0 ,0 ,5 ,0 ,18 
01,北海道,01406,古平町,17 ,1 ,2 ,20 ,7 ,11 ,17 ,3 ,3 ,0 ,0 ,6 ,0 ,43 
01,北海道,01407,仁木町,12 ,0 ,3 ,15 ,7 ,10 ,17 ,3 ,5 ,0 ,0 ,8 ,0 ,41 
01,北海道,01408,余市町,28 ,2 ,4 ,34 ,42 ,57 ,99 ,19 ,14 ,2 ,1 ,35 ,1 ,169 
01,北海道,01409,赤井川村,0 ,0 ,4 ,4 ,4 ,3 ,8 ,1 ,2 ,0 ,0 ,4 ,0 ,15 
01,北海道,01423,南幌町,14 ,1 ,13 ,29 ,13 ,19 ,32 ,10 ,9 ,1 ,0 ,20 ,0 ,81 
01,北海道,01424,奈井江町,68 ,2 ,5 ,75 ,10 ,16 ,26 ,6 ,5 ,0 ,0 ,12 ,0 ,113 
01,北海道,01425,上砂川町,7 ,1 ,4 ,12 ,4 ,12 ,16 ,3 ,2 ,0 ,0 ,5 ,0 ,33 
01,北海道,01427,由仁町,19 ,1 ,8 ,28 ,12 ,14 ,26 ,7 ,9 ,0 ,0 ,16 ,0 ,69 
01,北海道,01428,長沼町,6 ,2 ,26 ,34 ,24 ,28 ,52 ,13 ,17 ,1 ,0 ,32 ,0 ,117 
01,北海道,01429,栗山町,44 ,2 ,21 ,67 ,27 ,34 ,61 ,14 ,13 ,1 ,0 ,28 ,0 ,156 
01,北海道,01430,月形町,2 ,0 ,6 ,9 ,9 ,10 ,19 ,4 ,5 ,0 ,0 ,9 ,0 ,37 
01,北海道,01431,浦臼町,1 ,0 ,6 ,7 ,3 ,5 ,8 ,2 ,3 ,0 ,0 ,6 ,0 ,21 
01,北海道,01432,新十津川町,1 ,1 ,3 ,5 ,13 ,16 ,29 ,8 ,8 ,1 ,0 ,16 ,0 ,51 
01,北海道,01433,妹背牛町,13 ,1 ,2 ,16 ,5 ,8 ,14 ,3 ,5 ,0 ,0 ,8 ,0 ,39 
01,北海道,01434,秩父別町,2 ,0 ,6 ,8 ,5 ,6 ,11 ,3 ,4 ,0 ,0 ,7 ,0 ,27 
01,北海道,01436,雨竜町,0 ,0 ,4 ,5 ,6 ,7 ,13 ,3 ,4 ,0 ,0 ,7 ,0 ,25 
01,北海道,01437,北竜町,0 ,1 ,8 ,9 ,3 ,5 ,8 ,2 ,3 ,0 ,0 ,6 ,0 ,23 
01,北海道,01438,沼田町,4 ,1 ,4 ,9 ,7 ,9 ,16 ,4 ,5 ,0 ,0 ,9 ,0 ,34 
01,北海道,01452,鷹栖町,7 ,1 ,10 ,19 ,11 ,17 ,29 ,8 ,9 ,1 ,0 ,17 ,0 ,64 
01,北海道,01453,東神楽町,8 ,1 ,11 ,20 ,16 ,22 ,38 ,12 ,7 ,1 ,0 ,19 ,1 ,78 
01,北海道,01454,当麻町,10 ,1 ,10 ,22 ,11 ,17 ,28 ,7 ,9 ,1 ,0 ,17 ,1 ,68 
01,北海道,01455,比布町,4 ,0 ,13 ,17 ,7 ,10 ,17 ,4 ,5 ,0 ,0 ,10 ,1 ,45 
01,北海道,01456,愛別町,4 ,0 ,11 ,15 ,5 ,8 ,14 ,3 ,3 ,0 ,0 ,7 ,1 ,36 
01,北海道,01457,上川町,1 ,1 ,7 ,9 ,12 ,12 ,23 ,4 ,4 ,0 ,0 ,8 ,1 ,41 
01,北海道,01458,東川町,30 ,1 ,21 ,52 ,12 ,19 ,31 ,8 ,8 ,1 ,0 ,17 ,1 ,101 
01,北海道,01459,美瑛町,17 ,1 ,27 ,45 ,20 ,26 ,46 ,12 ,13 ,1 ,0 ,25 ,1 ,118 
01,北海道,01460,上富良野町,14 ,1 ,16 ,32 ,29 ,29 ,58 ,12 ,9 ,1 ,0 ,22 ,1 ,113 
01,北海道,01461,中富良野町,3 ,0 ,8 ,11 ,9 ,12 ,21 ,6 ,5 ,0 ,0 ,12 ,0 ,43 
01,北海道,01462,南富良野町,0 ,0 ,6 ,7 ,7 ,8 ,15 ,3 ,3 ,0 ,0 ,6 ,0 ,27 
01,北海道,01463,占冠村,0 ,0 ,3 ,4 ,4 ,4 ,7 ,2 ,1 ,0 ,0 ,3 ,0 ,14 
01,北海道,01464,和寒町,4 ,1 ,8 ,13 ,7 ,10 ,17 ,4 ,5 ,0 ,0 ,9 ,0 ,39 
01,北海道,01465,剣淵町,2 ,0 ,1 ,3 ,6 ,9 ,15 ,4 ,5 ,0 ,0 ,9 ,0 ,27 
01,北海道,01468,下川町,8 ,1 ,3 ,12 ,7 ,10 ,16 ,4 ,3 ,0 ,0 ,7 ,0 ,36 
01,北海道,01469,美深町,3 ,1 ,6 ,10 ,10 ,13 ,23 ,5 ,6 ,0 ,0 ,11 ,0 ,44 
01,北海道,01470,音威子府村,0 ,0 ,0 ,1 ,2 ,3 ,5 ,1 ,1 ,0 ,0 ,2 ,0 ,7 
01,北海道,01471,中川町,2 ,1 ,4 ,7 ,3 ,5 ,8 ,2 ,2 ,0 ,0 ,4 ,0 ,19 
01,北海道,01472,幌加内町,3 ,0 ,3 ,6 ,4 ,5 ,8 ,2 ,3 ,0 ,0 ,4 ,0 ,19 
01,北海道,01481,増毛町,29 ,1 ,6 ,36 ,7 ,14 ,22 ,4 ,4 ,0 ,1 ,9 ,0 ,67 
01,北海道,01482,小平町,1 ,1 ,4 ,6 ,6 ,9 ,15 ,3 ,3 ,0 ,0 ,7 ,0 ,28 
01,北海道,01483,苫前町,3 ,1 ,8 ,11 ,5 ,9 ,14 ,3 ,4 ,0 ,0 ,8 ,0 ,33 
01,北海道,01484,羽幌町,8 ,1 ,18 ,27 ,19 ,21 ,40 ,7 ,9 ,1 ,7 ,23 ,0 ,90 
01,北海道,01485,初山別村,0 ,0 ,4 ,4 ,3 ,3 ,6 ,1 ,2 ,0 ,0 ,3 ,0 ,14 
01,北海道,01486,遠別町,3 ,1 ,11 ,14 ,6 ,8 ,13 ,3 ,4 ,0 ,0 ,7 ,0 ,35 
01,北海道,01487,天塩町,0 ,1 ,7 ,8 ,8 ,9 ,16 ,4 ,4 ,0 ,1 ,10 ,0 ,34 
01,北海道,01511,猿払村,19 ,0 ,23 ,42 ,5 ,7 ,12 ,3 ,4 ,0 ,0 ,7 ,0 ,62 
01,北海道,01512,浜頓別町,21 ,1 ,8 ,30 ,9 ,11 ,20 ,4 ,5 ,0 ,0 ,10 ,1 ,60 
01,北海道,01513,中頓別町,0 ,0 ,2 ,2 ,4 ,5 ,9 ,2 ,2 ,0 ,0 ,4 ,0 ,16 
01,北海道,01514,枝幸町,40 ,2 ,9 ,50 ,19 ,23 ,41 ,10 ,12 ,1 ,1 ,23 ,1 ,116 
01,北海道,01516,豊富町,19 ,1 ,5 ,26 ,9 ,11 ,20 ,5 ,5 ,0 ,0 ,10 ,0 ,56 
01,北海道,01517,礼文町,10 ,0 ,0 ,11 ,8 ,8 ,16 ,2 ,3 ,0 ,37 ,43 ,0 ,70 
01,北海道,01518,利尻町,2 ,1 ,0 ,2 ,6 ,6 ,13 ,2 ,3 ,0 ,8 ,14 ,0 ,29 
01,北海道,01519,利尻富士町,7 ,1 ,0 ,8 ,8 ,7 ,15 ,2 ,4 ,0 ,34 ,40 ,0 ,64 
