2022/10/05 09:15 UPDATE
需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,需要ピーク時予備率(%),需要ピーク時使用率(%)
2093,10:00～11:00,10月05日,08:45,14,87

需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1830,10:00～11:00,10月05日,08:45

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1626,07:00～08:00,10月05日,08:45,14,87

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1423,07:00～08:00,10月05日,08:45

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022/10/05,00:00,1336,1309,88,1517
2022/10/05,01:00,1271,1251,85,1490
2022/10/05,02:00,1254,1246,83,1501
2022/10/05,03:00,1267,1272,84,1505
2022/10/05,04:00,1282,1277,85,1501
2022/10/05,05:00,1288,1286,86,1485
2022/10/05,06:00,1326,1317,84,1570
2022/10/05,07:00,1424,1423,87,1626
2022/10/05,08:00,0,1646,,1883
2022/10/05,09:00,0,1806,,2066
2022/10/05,10:00,0,1830,,2093
2022/10/05,11:00,0,1828,,2091
2022/10/05,12:00,0,1714,,2014
2022/10/05,13:00,0,1810,,2071
2022/10/05,14:00,0,1816,,2077
2022/10/05,15:00,0,1758,,2011
2022/10/05,16:00,0,1734,,1984
2022/10/05,17:00,0,1694,,1938
2022/10/05,18:00,0,1653,,1891
2022/10/05,19:00,0,1558,,1782
2022/10/05,20:00,0,1495,,1710
2022/10/05,21:00,0,1448,,1656
2022/10/05,22:00,0,1398,,1600
2022/10/05,23:00,0,1354,,1548

最大使用率(%),時間帯
88,00:00～01:00

翌日需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,需要ピーク時予備率(%),需要ピーク時使用率(%)
,,,,,

翌日需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
,,,,,

翌日使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
,,,

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2022/10/05,00:00,1358,0
2022/10/05,00:05,1352,0
2022/10/05,00:10,1369,0
2022/10/05,00:15,1369,0
2022/10/05,00:20,1361,0
2022/10/05,00:25,1335,0
2022/10/05,00:30,1337,0
2022/10/05,00:35,1331,0
2022/10/05,00:40,1324,0
2022/10/05,00:45,1321,0
2022/10/05,00:50,1304,0
2022/10/05,00:55,1300,0
2022/10/05,01:00,1280,0
2022/10/05,01:05,1284,0
2022/10/05,01:10,1290,0
2022/10/05,01:15,1286,0
2022/10/05,01:20,1279,0
2022/10/05,01:25,1272,0
2022/10/05,01:30,1273,0
2022/10/05,01:35,1272,0
2022/10/05,01:40,1269,0
2022/10/05,01:45,1272,0
2022/10/05,01:50,1281,0
2022/10/05,01:55,1256,0
2022/10/05,02:00,1255,0
2022/10/05,02:05,1250,0
2022/10/05,02:10,1256,0
2022/10/05,02:15,1255,0
2022/10/05,02:20,1236,0
2022/10/05,02:25,1240,0
2022/10/05,02:30,1243,0
2022/10/05,02:35,1254,0
2022/10/05,02:40,1270,0
2022/10/05,02:45,1276,0
2022/10/05,02:50,1271,0
2022/10/05,02:55,1248,0
2022/10/05,03:00,1247,0
2022/10/05,03:05,1252,0
2022/10/05,03:10,1265,0
2022/10/05,03:15,1271,0
2022/10/05,03:20,1262,0
2022/10/05,03:25,1270,0
2022/10/05,03:30,1277,0
2022/10/05,03:35,1277,0
2022/10/05,03:40,1270,0
2022/10/05,03:45,1273,0
2022/10/05,03:50,1278,0
2022/10/05,03:55,1283,0
2022/10/05,04:00,1275,0
2022/10/05,04:05,1288,0
2022/10/05,04:10,1269,0
2022/10/05,04:15,1266,0
2022/10/05,04:20,1288,0
2022/10/05,04:25,1286,0
2022/10/05,04:30,1284,0
2022/10/05,04:35,1280,0
2022/10/05,04:40,1286,0
2022/10/05,04:45,1291,0
2022/10/05,04:50,1296,0
2022/10/05,04:55,1285,0
2022/10/05,05:00,1289,0
2022/10/05,05:05,1297,0
2022/10/05,05:10,1292,0
2022/10/05,05:15,1292,0
2022/10/05,05:20,1280,0
2022/10/05,05:25,1268,0
2022/10/05,05:30,1277,0
2022/10/05,05:35,1283,0
2022/10/05,05:40,1265,0
2022/10/05,05:45,1291,0
2022/10/05,05:50,1302,0
2022/10/05,05:55,1297,0
2022/10/05,06:00,1309,0
2022/10/05,06:05,1317,0
2022/10/05,06:10,1323,0
2022/10/05,06:15,1302,0
2022/10/05,06:20,1292,0
2022/10/05,06:25,1297,0
2022/10/05,06:30,1300,1
2022/10/05,06:35,1320,3
2022/10/05,06:40,1341,5
2022/10/05,06:45,1347,9
2022/10/05,06:50,1363,11
2022/10/05,06:55,1353,15
2022/10/05,07:00,1340,19
2022/10/05,07:05,1361,23
2022/10/05,07:10,1360,25
2022/10/05,07:15,1397,29
2022/10/05,07:20,1383,35
2022/10/05,07:25,1388,46
2022/10/05,07:30,1404,67
2022/10/05,07:35,1429,85
2022/10/05,07:40,1426,93
2022/10/05,07:45,1442,102
2022/10/05,07:50,1482,109
2022/10/05,07:55,1486,112
2022/10/05,08:00,1506,115
2022/10/05,08:05,1536,123
2022/10/05,08:10,1568,128
2022/10/05,08:15,1565,127
2022/10/05,08:20,1607,136
2022/10/05,08:25,1631,154
2022/10/05,08:30,1636,151
2022/10/05,08:35,1671,154
2022/10/05,08:40,1699,171
2022/10/05,08:45,1705,164
2022/10/05,08:50,1705,154
2022/10/05,08:55,1735,160
2022/10/05,09:00,1744,164
2022/10/05,09:05,1745,159
2022/10/05,09:10,1765,161
2022/10/05,09:15,,
2022/10/05,09:20,,
2022/10/05,09:25,,
2022/10/05,09:30,,
2022/10/05,09:35,,
2022/10/05,09:40,,
2022/10/05,09:45,,
2022/10/05,09:50,,
2022/10/05,09:55,,
2022/10/05,10:00,,
2022/10/05,10:05,,
2022/10/05,10:10,,
2022/10/05,10:15,,
2022/10/05,10:20,,
2022/10/05,10:25,,
2022/10/05,10:30,,
2022/10/05,10:35,,
2022/10/05,10:40,,
2022/10/05,10:45,,
2022/10/05,10:50,,
2022/10/05,10:55,,
2022/10/05,11:00,,
2022/10/05,11:05,,
2022/10/05,11:10,,
2022/10/05,11:15,,
2022/10/05,11:20,,
2022/10/05,11:25,,
2022/10/05,11:30,,
2022/10/05,11:35,,
2022/10/05,11:40,,
2022/10/05,11:45,,
2022/10/05,11:50,,
2022/10/05,11:55,,
2022/10/05,12:00,,
2022/10/05,12:05,,
2022/10/05,12:10,,
2022/10/05,12:15,,
2022/10/05,12:20,,
2022/10/05,12:25,,
2022/10/05,12:30,,
2022/10/05,12:35,,
2022/10/05,12:40,,
2022/10/05,12:45,,
2022/10/05,12:50,,
2022/10/05,12:55,,
2022/10/05,13:00,,
2022/10/05,13:05,,
2022/10/05,13:10,,
2022/10/05,13:15,,
2022/10/05,13:20,,
2022/10/05,13:25,,
2022/10/05,13:30,,
2022/10/05,13:35,,
2022/10/05,13:40,,
2022/10/05,13:45,,
2022/10/05,13:50,,
2022/10/05,13:55,,
2022/10/05,14:00,,
2022/10/05,14:05,,
2022/10/05,14:10,,
2022/10/05,14:15,,
2022/10/05,14:20,,
2022/10/05,14:25,,
2022/10/05,14:30,,
2022/10/05,14:35,,
2022/10/05,14:40,,
2022/10/05,14:45,,
2022/10/05,14:50,,
2022/10/05,14:55,,
2022/10/05,15:00,,
2022/10/05,15:05,,
2022/10/05,15:10,,
2022/10/05,15:15,,
2022/10/05,15:20,,
2022/10/05,15:25,,
2022/10/05,15:30,,
2022/10/05,15:35,,
2022/10/05,15:40,,
2022/10/05,15:45,,
2022/10/05,15:50,,
2022/10/05,15:55,,
2022/10/05,16:00,,
2022/10/05,16:05,,
2022/10/05,16:10,,
2022/10/05,16:15,,
2022/10/05,16:20,,
2022/10/05,16:25,,
2022/10/05,16:30,,
2022/10/05,16:35,,
2022/10/05,16:40,,
2022/10/05,16:45,,
2022/10/05,16:50,,
2022/10/05,16:55,,
2022/10/05,17:00,,
2022/10/05,17:05,,
2022/10/05,17:10,,
2022/10/05,17:15,,
2022/10/05,17:20,,
2022/10/05,17:25,,
2022/10/05,17:30,,
2022/10/05,17:35,,
2022/10/05,17:40,,
2022/10/05,17:45,,
2022/10/05,17:50,,
2022/10/05,17:55,,
2022/10/05,18:00,,
2022/10/05,18:05,,
2022/10/05,18:10,,
2022/10/05,18:15,,
2022/10/05,18:20,,
2022/10/05,18:25,,
2022/10/05,18:30,,
2022/10/05,18:35,,
2022/10/05,18:40,,
2022/10/05,18:45,,
2022/10/05,18:50,,
2022/10/05,18:55,,
2022/10/05,19:00,,
2022/10/05,19:05,,
2022/10/05,19:10,,
2022/10/05,19:15,,
2022/10/05,19:20,,
2022/10/05,19:25,,
2022/10/05,19:30,,
2022/10/05,19:35,,
2022/10/05,19:40,,
2022/10/05,19:45,,
2022/10/05,19:50,,
2022/10/05,19:55,,
2022/10/05,20:00,,
2022/10/05,20:05,,
2022/10/05,20:10,,
