2022/10/05 09:18 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
801,14:00～15:00,10月05日,09:10,12,89

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
717,14:00～15:00,10月05日,09:10

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
669,05:00～06:00,10月05日,09:10,10,91

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
610,05:00～06:00,10月05日,09:10

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022/10/5,0:00,566,575,89,631
2022/10/5,1:00,546,541,91,598
2022/10/5,2:00,550,542,91,604
2022/10/5,3:00,582,572,92,632
2022/10/5,4:00,605,598,92,657
2022/10/5,5:00,611,610,91,669
2022/10/5,6:00,606,610,89,680
2022/10/5,7:00,621,611,89,693
2022/10/5,8:00,672,648,92,726
2022/10/5,9:00,0,696,0,774
2022/10/5,10:00,0,709,0,791
2022/10/5,11:00,0,702,0,783
2022/10/5,12:00,0,675,0,754
2022/10/5,13:00,0,711,0,794
2022/10/5,14:00,0,717,0,801
2022/10/5,15:00,0,705,0,787
2022/10/5,16:00,0,697,0,778
2022/10/5,17:00,0,694,0,775
2022/10/5,18:00,0,686,0,766
2022/10/5,19:00,0,648,0,724
2022/10/5,20:00,0,617,0,689
2022/10/5,21:00,0,591,0,660
2022/10/5,22:00,0,570,0,636
2022/10/5,23:00,0,552,0,623

最大使用率(%),時間帯
92,04:00～05:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
,,,,,

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
,,,

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2022/10/5,0:00,578,0
2022/10/5,0:05,585,0
2022/10/5,0:10,579,0
2022/10/5,0:15,573,0
2022/10/5,0:20,575,0
2022/10/5,0:25,574,0
2022/10/5,0:30,562,0
2022/10/5,0:35,565,0
2022/10/5,0:40,558,0
2022/10/5,0:45,552,0
2022/10/5,0:50,547,0
2022/10/5,0:55,541,0
2022/10/5,1:00,544,0
2022/10/5,1:05,542,0
2022/10/5,1:10,545,0
2022/10/5,1:15,551,0
2022/10/5,1:20,549,0
2022/10/5,1:25,550,0
2022/10/5,1:30,547,0
