2022/10/5 9:15 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
394,17:00～18:00,10月5日,9:12,12,89

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
351,17:00～18:00,10月5日,9:12

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
394,17:00～18:00,10月5日,9:12,12,89

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
351,17:00～18:00,10月5日,9:12

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2022/10/5,0:00,257,253,85,299
2022/10/5,1:00,254,252,84,302
2022/10/5,2:00,265,261,85,309
2022/10/5,3:00,280,282,84,331
2022/10/5,4:00,286,287,86,332
2022/10/5,5:00,282,281,87,324
2022/10/5,6:00,276,278,83,330
2022/10/5,7:00,287,285,83,346
2022/10/5,8:00,314,308,81,385
2022/10/5,9:00,,331,,412
2022/10/5,10:00,,330,,401
2022/10/5,11:00,,324,,394
2022/10/5,12:00,,301,,402
2022/10/5,13:00,,312,,371
2022/10/5,14:00,,314,,352
2022/10/5,15:00,,316,,366
2022/10/5,16:00,,334,,381
2022/10/5,17:00,,351,,394
2022/10/5,18:00,,349,,397
2022/10/5,19:00,,335,,389
2022/10/5,20:00,,315,,377
2022/10/5,21:00,,293,,346
2022/10/5,22:00,,277,,333
2022/10/5,23:00,,267,,328

最大使用率(%),時間帯
87,5:00～6:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
,,,,,

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
,,,

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2022/10/5,0:00,260,0
2022/10/5,0:05,260,0
2022/10/5,0:10,258,0
2022/10/5,0:15,256,0
2022/10/5,0:20,254,0
2022/10/5,0:25,254,0
2022/10/5,0:30,256,0
2022/10/5,0:35,256,0
2022/10/5,0:40,255,0
2022/10/5,0:45,252,0
2022/10/5,0:50,254,0
2022/10/5,0:55,253,0
2022/10/5,1:00,254,0
2022/10/5,1:05,251,0
2022/10/5,1:10,252,0
2022/10/5,1:15,253,0
2022/10/5,1:20,254,0
2022/10/5,1:25,252,0
2022/10/5,1:30,254,0
2022/10/5,1:35,254,0
2022/10/5,1:40,252,0
2022/10/5,1:45,252,0
2022/10/5,1:50,253,0
2022/10/5,1:55,253,0
2022/10/5,2:00,254,0
2022/10/5,2:05,255,0
2022/10/5,2:10,258,0
2022/10/5,2:15,261,0
2022/10/5,2:20,260,0
2022/10/5,2:25,261,0
2022/10/5,2:30,266,0
2022/10/5,2:35,269,0
2022/10/5,2:40,270,0
2022/10/5,2:45,271,0
2022/10/5,2:50,269,0
2022/10/5,2:55,271,0
2022/10/5,3:00,276,0
2022/10/5,3:05,274,0
2022/10/5,3:10,275,0
2022/10/5,3:15,276,0
2022/10/5,3:20,278,0
2022/10/5,3:25,278,0
2022/10/5,3:30,278,0
2022/10/5,3:35,279,0
2022/10/5,3:40,281,0
2022/10/5,3:45,282,0
2022/10/5,3:50,282,0
2022/10/5,3:55,285,0
2022/10/5,4:00,285,0
2022/10/5,4:05,286,0
2022/10/5,4:10,287,0
2022/10/5,4:15,290,0
2022/10/5,4:20,289,0
2022/10/5,4:25,288,0
2022/10/5,4:30,285,0
2022/10/5,4:35,284,0
2022/10/5,4:40,284,0
2022/10/5,4:45,285,0
2022/10/5,4:50,284,0
2022/10/5,4:55,285,0
2022/10/5,5:00,284,0
2022/10/5,5:05,286,0
2022/10/5,5:10,287,0
2022/10/5,5:15,288,0
2022/10/5,5:20,287,0
2022/10/5,5:25,284,0
2022/10/5,5:30,280,0
2022/10/5,5:35,278,0
2022/10/5,5:40,277,0
2022/10/5,5:45,275,1
2022/10/5,5:50,272,1
2022/10/5,5:55,272,1
2022/10/5,6:00,281,9
2022/10/5,6:05,280,10
2022/10/5,6:10,277,11
2022/10/5,6:15,274,12
2022/10/5,6:20,273,13
2022/10/5,6:25,272,15
2022/10/5,6:30,278,24
2022/10/5,6:35,278,27
2022/10/5,6:40,276,30
2022/10/5,6:45,273,30
2022/10/5,6:50,272,34
2022/10/5,6:55,271,36
2022/10/5,7:00,287,52
2022/10/5,7:05,287,54
2022/10/5,7:10,286,54
2022/10/5,7:15,284,57
2022/10/5,7:20,281,58
2022/10/5,7:25,280,61
2022/10/5,7:30,288,73
2022/10/5,7:35,287,75
2022/10/5,7:40,288,75
2022/10/5,7:45,289,78
2022/10/5,7:50,289,79
2022/10/5,7:55,291,79
2022/10/5,8:00,302,88
2022/10/5,8:05,304,90
2022/10/5,8:10,307,86
2022/10/5,8:15,307,81
2022/10/5,8:20,307,81
2022/10/5,8:25,308,82
2022/10/5,8:30,320,91
2022/10/5,8:35,321,91
2022/10/5,8:40,322,93
2022/10/5,8:45,320,94
2022/10/5,8:50,320,96
2022/10/5,8:55,323,97
2022/10/5,9:00,331,104
2022/10/5,9:05,331,104
2022/10/5,9:10,331,108
2022/10/5,9:15,,
2022/10/5,9:20,,
2022/10/5,9:25,,
2022/10/5,9:30,,
2022/10/5,9:35,,
2022/10/5,9:40,,
2022/10/5,9:45,,
2022/10/5,9:50,,
2022/10/5,9:55,,
2022/10/5,10:00,,
2022/10/5,10:05,,
2022/10/5,10:10,,
2022/10/5,10:15,,
2022/10/5,10:20,,
2022/10/5,10:25,,
2022/10/5,10:30,,
2022/10/5,10:35,,
2022/10/5,10:40,,
2022/10/5,10:45,,
2022/10/5,10:50,,
2022/10/5,10:55,,
2022/10/5,11:00,,
2022/10/5,11:05,,
2022/10/5,11:10,,
2022/10/5,11:15,,
2022/10/5,11:20,,
2022/10/5,11:25,,
2022/10/5,11:30,,
2022/10/5,11:35,,
2022/10/5,11:40,,
2022/10/5,11:45,,
2022/10/5,11:50,,
2022/10/5,11:55,,
2022/10/5,12:00,,
2022/10/5,12:05,,
2022/10/5,12:10,,
2022/10/5,12:15,,
2022/10/5,12:20,,
2022/10/5,12:25,,
2022/10/5,12:30,,
2022/10/5,12:35,,
2022/10/5,12:40,,
2022/10/5,12:45,,
2022/10/5,12:50,,
2022/10/5,12:55,,
2022/10/5,13:00,,
2022/10/5,13:05,,
2022/10/5,13:10,,
2022/10/5,13:15,,
2022/10/5,13:20,,
2022/10/5,13:25,,
2022/10/5,13:30,,
2022/10/5,13:35,,
2022/10/5,13:40,,
2022/10/5,13:45,,
2022/10/5,13:50,,
2022/10/5,13:55,,
2022/10/5,14:00,,
2022/10/5,14:05,,
2022/10/5,14:10,,
2022/10/5,14:15,,
2022/10/5,14:20,,
2022/10/5,14:25,,
2022/10/5,14:30,,
2022/10/5,14:35,,
2022/10/5,14:40,,
2022/10/5,14:45,,
2022/10/5,14:50,,
2022/10/5,14:55,,
2022/10/5,15:00,,
2022/10/5,15:05,,
2022/10/5,15:10,,
2022/10/5,15:15,,
2022/10/5,15:20,,
2022/10/5,15:25,,
2022/10/5,15:30,,
2022/10/5,15:35,,
2022/10/5,15:40,,
2022/10/5,15:45,,
2022/10/5,15:50,,
2022/10/5,15:55,,
2022/10/5,16:00,,
2022/10/5,16:05,,
2022/10/5,16:10,,
2022/10/5,16:15,,
2022/10/5,16:20,,
2022/10/5,16:25,,
2022/10/5,16:30,,
2022/10/5,16:35,,
2022/10/5,16:40,,
2022/10/5,16:45,,
2022/10/5,16:50,,
2022/10/5,16:55,,
2022/10/5,17:00,,
2022/10/5,17:05,,
2022/10/5,17:10,,
2022/10/5,17:15,,
2022/10/5,17:20,,
2022/10/5,17:25,,
2022/10/5,17:30,,
2022/10/5,17:35,,
2022/10/5,17:40,,
2022/10/5,17:45,,
2022/10/5,17:50,,
2022/10/5,17:55,,
2022/10/5,18:00,,
2022/10/5,18:05,,
