2022/12/6 13:41 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
488,11:00～12:00,12月6日,10:46,21,82

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
403,11:00～12:00,12月6日,10:16

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
461,17:00～18:00,12月6日,13:16,15,86

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
399,17:00～18:00,12月6日,13:16

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022/12/6,0:00,319,310,76,417
2022/12/6,1:00,326,313,78,418
2022/12/6,2:00,346,331,85,403
2022/12/6,3:00,359,348,86,417
2022/12/6,4:00,362,363,84,427
2022/12/6,5:00,359,357,85,419
2022/12/6,6:00,358,358,85,418
2022/12/6,7:00,361,362,85,423
2022/12/6,8:00,391,377,88,444
2022/12/6,9:00,408,399,86,473
2022/12/6,10:00,404,398,83,485
2022/12/6,11:00,399,403,81,488
2022/12/6,12:00,380,375,80,472
2022/12/6,13:00,0,391,0,469
2022/12/6,14:00,0,394,0,472
2022/12/6,15:00,0,391,0,469
2022/12/6,16:00,0,400,0,463
2022/12/6,17:00,0,399,0,461
2022/12/6,18:00,0,392,0,461
2022/12/6,19:00,0,375,0,446
2022/12/6,20:00,0,360,0,431
2022/12/6,21:00,0,346,0,414
2022/12/6,22:00,0,337,0,408
2022/12/6,23:00,0,330,0,425

最大使用率(%),時間帯
88,8:00～9:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
,,,,,

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
,,,

DATE,TIME,当日実績（５分間隔値）(万kW),太陽光発電実績（５分間隔値）(万kW)
2022/12/6,0:00,320,0
2022/12/6,0:05,316,0
2022/12/6,0:10,314,0
2022/12/6,0:15,311,0
2022/12/6,0:20,311,0
2022/12/6,0:25,312,0
2022/12/6,0:30,317,0
2022/12/6,0:35,316,0
2022/12/6,0:40,313,0
2022/12/6,0:45,314,0
2022/12/6,0:50,316,0
2022/12/6,0:55,316,0
2022/12/6,1:00,317,0
2022/12/6,1:05,319,0
2022/12/6,1:10,319,0
2022/12/6,1:15,318,0
2022/12/6,1:20,318,0
2022/12/6,1:25,316,0
2022/12/6,1:30,319,0
2022/12/6,1:35,321,0
2022/12/6,1:40,324,0
2022/12/6,1:45,327,0
2022/12/6,1:50,329,0
2022/12/6,1:55,330,0
2022/12/6,2:00,333,0
2022/12/6,2:05,336,0
2022/12/6,2:10,337,0
2022/12/6,2:15,339,0
2022/12/6,2:20,341,0
2022/12/6,2:25,340,0
2022/12/6,2:30,341,0
2022/12/6,2:35,343,0
2022/12/6,2:40,345,0
2022/12/6,2:45,347,0
2022/12/6,2:50,348,0
2022/12/6,2:55,350,0
2022/12/6,3:00,352,0
2022/12/6,3:05,355,0
2022/12/6,3:10,354,0
