2022/12/6 13:35 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時使用率(%)
2234,17:00～18:00,12/6,13:13,86

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1940,17:00～18:00,12/6,13:13

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時使用率(%)
1531,1:00～2:00,12/6,13:13,93

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1370,1:00～2:00,12/6,13:13

最大使用率(%),予想気温(最低),予想気温(最高),気温実績(最低),気温実績(最高)
93,*,*,*,*

DATE,TIME,当日実績(万kW),予想値(万kW),使用率(%),供給力想定値(万kW)
2022/12/6,0:00,1460,1410,92,1577
2022/12/6,1:00,1439,1370,93,1531
2022/12/6,2:00,1475,1410,93,1577
2022/12/6,3:00,1471,1450,90,1626
2022/12/6,4:00,1469,1460,89,1643
2022/12/6,5:00,1479,1490,87,1681
2022/12/6,6:00,1565,1574,87,1789
2022/12/6,7:00,1695,1690,87,1935
2022/12/6,8:00,1856,1830,88,2100
2022/12/6,9:00,1938,1910,87,2205
2022/12/6,10:00,1896,1900,85,2205
2022/12/6,11:00,1871,1870,84,2208
2022/12/6,12:00,1767,1800,81,2157
2022/12/6,13:00,0,1840,87,2114
2022/12/6,14:00,0,1850,86,2131
2022/12/6,15:00,0,1870,86,2154
2022/12/6,16:00,0,1920,87,2191
2022/12/6,17:00,0,1940,86,2234
2022/12/6,18:00,0,1910,86,2200
2022/12/6,19:00,0,1860,86,2142
2022/12/6,20:00,0,1790,86,2062
2022/12/6,21:00,0,1720,86,1979
2022/12/6,22:00,0,1630,86,1876
2022/12/6,23:00,0,1550,86,1784

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時使用率(%)
,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時使用率(%)
,,,,

