2022/10/5 9:19 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1279,14:00～15:00,10/5,9:16,17,86

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1094,14:00～15:00,10/5,9:16

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
963,5:00～6:00,10/5,9:16,10,91

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
875,5:00～6:00,10/5,9:16

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),予備率(%),供給力想定値(万kW)
2022/10/5,0:00,807,808,89,13,909
2022/10/5,1:00,769,768,87,14,879
2022/10/5,2:00,772,775,88,14,877
2022/10/5,3:00,807,810,91,10,887
2022/10/5,4:00,848,847,91,10,933
2022/10/5,5:00,872,875,91,10,963
2022/10/5,6:00,859,860,90,11,955
2022/10/5,7:00,869,872,88,14,988
2022/10/5,8:00,939,941,86,16,1092
2022/10/5,9:00,0,1011,0,0,1206
2022/10/5,10:00,0,1048,0,0,1271
2022/10/5,11:00,0,1089,0,0,1329
2022/10/5,12:00,0,1058,0,0,1341
2022/10/5,13:00,0,1087,0,0,1315
2022/10/5,14:00,0,1094,0,0,1279
2022/10/5,15:00,0,1076,0,0,1209
2022/10/5,16:00,0,1079,0,0,1196
2022/10/5,17:00,0,1051,0,0,1163
2022/10/5,18:00,0,1031,0,0,1140
2022/10/5,19:00,0,988,0,0,1094
2022/10/5,20:00,0,934,0,0,1034
2022/10/5,21:00,0,894,0,0,990
2022/10/5,22:00,0,863,0,0,957
2022/10/5,23:00,0,835,0,0,925

最大使用率(%),時間帯
91,5:00～6:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
,,,,,

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
,,,

DATE,TIME,当日実績(５分間隔値）(万kW),太陽光発電実績(５分間隔値）(万kW)
2022/10/5,0:00,832,0
2022/10/5,0:05,837,0
2022/10/5,0:10,831,0
2022/10/5,0:15,826,0
2022/10/5,0:20,815,0
2022/10/5,0:25,809,0
2022/10/5,0:30,801,0
2022/10/5,0:35,790,0
2022/10/5,0:40,790,0
2022/10/5,0:45,791,0
2022/10/5,0:50,781,0
2022/10/5,0:55,791,0
2022/10/5,1:00,776,0
2022/10/5,1:05,775,0
2022/10/5,1:10,782,0
2022/10/5,1:15,773,0
2022/10/5,1:20,765,0
2022/10/5,1:25,765,0
2022/10/5,1:30,771,0
2022/10/5,1:35,762,0
2022/10/5,1:40,769,0
2022/10/5,1:45,754,0
2022/10/5,1:50,767,0
2022/10/5,1:55,771,0
2022/10/5,2:00,766,0
2022/10/5,2:05,762,0
2022/10/5,2:10,766,0
2022/10/5,2:15,770,0
2022/10/5,2:20,760,0
2022/10/5,2:25,779,0
2022/10/5,2:30,766,0
2022/10/5,2:35,782,0
2022/10/5,2:40,792,0
2022/10/5,2:45,779,0
2022/10/5,2:50,781,0
2022/10/5,2:55,784,0
2022/10/5,3:00,784,0
2022/10/5,3:05,793,0
2022/10/5,3:10,788,0
2022/10/5,3:15,805,0
2022/10/5,3:20,813,0
2022/10/5,3:25,815,0
2022/10/5,3:30,813,0
2022/10/5,3:35,810,0
2022/10/5,3:40,816,0
2022/10/5,3:45,820,0
2022/10/5,3:50,825,0
2022/10/5,3:55,822,0
2022/10/5,4:00,824,0
2022/10/5,4:05,846,0
2022/10/5,4:10,837,0
2022/10/5,4:15,838,0
2022/10/5,4:20,844,0
2022/10/5,4:25,848,0
2022/10/5,4:30,838,0
2022/10/5,4:35,851,0
2022/10/5,4:40,859,0
2022/10/5,4:45,863,0
2022/10/5,4:50,867,0
2022/10/5,4:55,866,0
2022/10/5,5:00,881,0
2022/10/5,5:05,869,0
2022/10/5,5:10,876,0
2022/10/5,5:15,882,0
2022/10/5,5:20,870,0
2022/10/5,5:25,873,0
2022/10/5,5:30,883,0
2022/10/5,5:35,887,0
2022/10/5,5:40,871,0
2022/10/5,5:45,862,0
2022/10/5,5:50,864,0
2022/10/5,5:55,864,0
2022/10/5,6:00,866,0
2022/10/5,6:05,857,0
2022/10/5,6:10,857,0
2022/10/5,6:15,867,0
2022/10/5,6:20,863,0
2022/10/5,6:25,869,2
2022/10/5,6:30,853,3
2022/10/5,6:35,854,5
2022/10/5,6:40,854,10
2022/10/5,6:45,855,13
2022/10/5,6:50,854,19
2022/10/5,6:55,858,25
2022/10/5,7:00,855,31
2022/10/5,7:05,873,41
2022/10/5,7:10,871,52
2022/10/5,7:15,862,62
2022/10/5,7:20,863,71
2022/10/5,7:25,869,80
2022/10/5,7:30,867,89
2022/10/5,7:35,865,100
2022/10/5,7:40,863,119
2022/10/5,7:45,878,134
2022/10/5,7:50,882,150
2022/10/5,7:55,887,171
2022/10/5,8:00,892,188
2022/10/5,8:05,905,197
2022/10/5,8:10,918,219
2022/10/5,8:15,918,228
2022/10/5,8:20,928,245
2022/10/5,8:25,941,258
2022/10/5,8:30,938,275
2022/10/5,8:35,947,291
2022/10/5,8:40,948,307
2022/10/5,8:45,966,329
2022/10/5,8:50,979,347
2022/10/5,8:55,976,359
2022/10/5,9:00,991,388
2022/10/5,9:05,1010,412
2022/10/5,9:10,1004,421
2022/10/5,9:15,1025,441
2022/10/5,9:20,,
2022/10/5,9:25,,
2022/10/5,9:30,,
2022/10/5,9:35,,
2022/10/5,9:40,,
2022/10/5,9:45,,
2022/10/5,9:50,,
2022/10/5,9:55,,
2022/10/5,10:00,,
2022/10/5,10:05,,
2022/10/5,10:10,,
2022/10/5,10:15,,
2022/10/5,10:20,,
2022/10/5,10:25,,
2022/10/5,10:30,,
2022/10/5,10:35,,
2022/10/5,10:40,,
2022/10/5,10:45,,
2022/10/5,10:50,,
2022/10/5,10:55,,
2022/10/5,11:00,,
2022/10/5,11:05,,
2022/10/5,11:10,,
2022/10/5,11:15,,
2022/10/5,11:20,,
2022/10/5,11:25,,
2022/10/5,11:30,,
2022/10/5,11:35,,
2022/10/5,11:40,,
2022/10/5,11:45,,
2022/10/5,11:50,,
2022/10/5,11:55,,
2022/10/5,12:00,,
2022/10/5,12:05,,
2022/10/5,12:10,,
2022/10/5,12:15,,
2022/10/5,12:20,,
2022/10/5,12:25,,
2022/10/5,12:30,,
2022/10/5,12:35,,
2022/10/5,12:40,,
2022/10/5,12:45,,
2022/10/5,12:50,,
2022/10/5,12:55,,
2022/10/5,13:00,,
2022/10/5,13:05,,
2022/10/5,13:10,,
2022/10/5,13:15,,
2022/10/5,13:20,,
2022/10/5,13:25,,
2022/10/5,13:30,,
2022/10/5,13:35,,
2022/10/5,13:40,,
2022/10/5,13:45,,
2022/10/5,13:50,,
2022/10/5,13:55,,
2022/10/5,14:00,,
2022/10/5,14:05,,
2022/10/5,14:10,,
2022/10/5,14:15,,
2022/10/5,14:20,,
2022/10/5,14:25,,
2022/10/5,14:30,,
2022/10/5,14:35,,
2022/10/5,14:40,,
2022/10/5,14:45,,
2022/10/5,14:50,,
2022/10/5,14:55,,
2022/10/5,15:00,,
2022/10/5,15:05,,
2022/10/5,15:10,,
2022/10/5,15:15,,
2022/10/5,15:20,,
2022/10/5,15:25,,
2022/10/5,15:30,,
2022/10/5,15:35,,
2022/10/5,15:40,,
2022/10/5,15:45,,
2022/10/5,15:50,,
2022/10/5,15:55,,
2022/10/5,16:00,,
2022/10/5,16:05,,
2022/10/5,16:10,,
2022/10/5,16:15,,
2022/10/5,16:20,,
2022/10/5,16:25,,
2022/10/5,16:30,,
2022/10/5,16:35,,
2022/10/5,16:40,,
2022/10/5,16:45,,
2022/10/5,16:50,,
2022/10/5,16:55,,
2022/10/5,17:00,,
2022/10/5,17:05,,
2022/10/5,17:10,,
2022/10/5,17:15,,
2022/10/5,17:20,,
2022/10/5,17:25,,
2022/10/5,17:30,,
2022/10/5,17:35,,
2022/10/5,17:40,,
2022/10/5,17:45,,
2022/10/5,17:50,,
2022/10/5,17:55,,
2022/10/5,18:00,,
2022/10/5,18:05,,
2022/10/5,18:10,,
2022/10/5,18:15,,
2022/10/5,18:20,,
2022/10/5,18:25,,
2022/10/5,18:30,,
2022/10/5,18:35,,
2022/10/5,18:40,,
2022/10/5,18:45,,
2022/10/5,18:50,,
2022/10/5,18:55,,
2022/10/5,19:00,,
2022/10/5,19:05,,
2022/10/5,19:10,,
