2022/12/06 13:42 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
145,18:00～19:00,12月06日,13:11,65,60

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
88,18:00～19:00,12月06日,13:11

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
123,08:00～09:00,12月06日,13:11,41,70

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
87,08:00～09:00,12月06日,13:11

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022/12/06,00:00,72,71,60,119
2022/12/06,01:00,70,68,58,119
2022/12/06,02:00,71,69,59,120
2022/12/06,03:00,72,74,59,121
2022/12/06,04:00,73,75,60,121
2022/12/06,05:00,73,75,60,121
2022/12/06,06:00,74,76,61,121
2022/12/06,07:00,79,81,65,121
2022/12/06,08:00,83,87,67,123
2022/12/06,09:00,82,85,65,125
2022/12/06,10:00,81,85,63,128
2022/12/06,11:00,83,85,64,128
2022/12/06,12:00,81,82,62,129
2022/12/06,13:00,,83,,130
2022/12/06,14:00,,85,,127
2022/12/06,15:00,,84,,125
2022/12/06,16:00,,85,,137
2022/12/06,17:00,,87,,147
2022/12/06,18:00,,88,,145
2022/12/06,19:00,,86,,146
2022/12/06,20:00,,83,,144
2022/12/06,21:00,,78,,131
2022/12/06,22:00,,73,,119
2022/12/06,23:00,,69,,119

最大使用率(%),時間帯
67,08:00～09:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
,,,,,

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
,,,

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW)
2022/12/06,00:00,77,0
2022/12/06,00:05,76,0
2022/12/06,00:10,74,0
2022/12/06,00:15,72,0
2022/12/06,00:20,74,0
2022/12/06,00:25,74,0
2022/12/06,00:30,73,0
2022/12/06,00:35,74,0
2022/12/06,00:40,72,0
2022/12/06,00:45,72,0
2022/12/06,00:50,73,0
2022/12/06,00:55,74,0
2022/12/06,01:00,74,0
2022/12/06,01:05,72,0
2022/12/06,01:10,69,0
2022/12/06,01:15,71,0
2022/12/06,01:20,71,0
2022/12/06,01:25,72,0
2022/12/06,01:30,72,0
2022/12/06,01:35,71,0
2022/12/06,01:40,71,0
2022/12/06,01:45,72,0
2022/12/06,01:50,72,0
2022/12/06,01:55,73,0
2022/12/06,02:00,71,0
2022/12/06,02:05,69,0
2022/12/06,02:10,70,0
2022/12/06,02:15,71,0
2022/12/06,02:20,72,0
2022/12/06,02:25,73,0
2022/12/06,02:30,73,0
2022/12/06,02:35,73,0
2022/12/06,02:40,74,0
2022/12/06,02:45,74,0
2022/12/06,02:50,74,0
2022/12/06,02:55,74,0
2022/12/06,03:00,73,0
2022/12/06,03:05,71,0
2022/12/06,03:10,72,0
2022/12/06,03:15,74,0
2022/12/06,03:20,75,0
2022/12/06,03:25,75,0
2022/12/06,03:30,73,0
2022/12/06,03:35,74,0
2022/12/06,03:40,75,0
2022/12/06,03:45,75,0
2022/12/06,03:50,75,0
2022/12/06,03:55,74,0
2022/12/06,04:00,72,0
2022/12/06,04:05,73,0
2022/12/06,04:10,74,0
2022/12/06,04:15,75,0
2022/12/06,04:20,75,0
2022/12/06,04:25,75,0
2022/12/06,04:30,74,0
2022/12/06,04:35,75,0
2022/12/06,04:40,75,0
2022/12/06,04:45,75,0
2022/12/06,04:50,76,0
2022/12/06,04:55,73,0
2022/12/06,05:00,72,0
2022/12/06,05:05,74,0
2022/12/06,05:10,75,0
2022/12/06,05:15,76,0
2022/12/06,05:20,76,0
2022/12/06,05:25,74,0
2022/12/06,05:30,75,0
2022/12/06,05:35,74,0
2022/12/06,05:40,75,0
2022/12/06,05:45,75,0
2022/12/06,05:50,74,0
2022/12/06,05:55,71,0
2022/12/06,06:00,71,0
2022/12/06,06:05,74,0
2022/12/06,06:10,75,0
2022/12/06,06:15,75,0
2022/12/06,06:20,75,0
2022/12/06,06:25,73,0
2022/12/06,06:30,75,0
2022/12/06,06:35,76,0
2022/12/06,06:40,77,0
2022/12/06,06:45,77,0
2022/12/06,06:50,77,0
2022/12/06,06:55,75,0
2022/12/06,07:00,77,0
2022/12/06,07:05,80,0
2022/12/06,07:10,80,0
2022/12/06,07:15,81,0
2022/12/06,07:20,81,0
2022/12/06,07:25,80,0
2022/12/06,07:30,81,0
2022/12/06,07:35,83,0
2022/12/06,07:40,84,0
2022/12/06,07:45,83,1
2022/12/06,07:50,81,1
2022/12/06,07:55,80,1
2022/12/06,08:00,81,1
2022/12/06,08:05,83,1
2022/12/06,08:10,84,1
2022/12/06,08:15,84,2
2022/12/06,08:20,84,2
2022/12/06,08:25,85,2
2022/12/06,08:30,84,2
2022/12/06,08:35,84,2
