2022/12/06 13:43 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
426,18:00～19:00,12月6日,13:43,10,90

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
387,18:00～19:00,12月6日,13:43

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
426,18:00～19:00,12月6日,13:43,10,90

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
387,18:00～19:00,12月6日,13:43

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2022/12/06,0:00,285,286,78,363
2022/12/06,1:00,292,293,80,363
2022/12/06,2:00,311,309,80,386
2022/12/06,3:00,324,326,81,397
2022/12/06,4:00,330,330,82,398
2022/12/06,5:00,331,334,82,403
2022/12/06,6:00,335,341,83,400
2022/12/06,7:00,346,347,83,414
2022/12/06,8:00,371,379,82,450
2022/12/06,9:00,364,376,76,477
2022/12/06,10:00,358,358,74,479
2022/12/06,11:00,354,351,72,489
2022/12/06,12:00,339,335,71,471
2022/12/06,13:00,0,346,0,493
2022/12/06,14:00,0,353,0,435
2022/12/06,15:00,0,361,0,436
2022/12/06,16:00,0,369,0,421
2022/12/06,17:00,0,381,0,428
2022/12/06,18:00,0,387,0,426
2022/12/06,19:00,0,379,0,426
2022/12/06,20:00,0,364,0,426
2022/12/06,21:00,0,339,0,415
2022/12/06,22:00,0,312,0,420
2022/12/06,23:00,0,308,0,403

最大使用率(%),時間帯
83,06:00～07:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
,,,,,

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
,,,

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間隔値)(万kW)
2022/12/06,0:00,291,0
2022/12/06,0:05,289,0
2022/12/06,0:10,288,0
2022/12/06,0:15,287,0
2022/12/06,0:20,286,0
2022/12/06,0:25,285,0
2022/12/06,0:30,284,0
2022/12/06,0:35,285,0
2022/12/06,0:40,283,0
2022/12/06,0:45,284,0
2022/12/06,0:50,285,0
2022/12/06,0:55,287,0
2022/12/06,1:00,289,0
2022/12/06,1:05,288,0
2022/12/06,1:10,288,0
2022/12/06,1:15,289,0
2022/12/06,1:20,291,0
2022/12/06,1:25,290,0
2022/12/06,1:30,291,0
2022/12/06,1:35,292,0
2022/12/06,1:40,293,0
2022/12/06,1:45,295,0
2022/12/06,1:50,296,0
2022/12/06,1:55,299,0
2022/12/06,2:00,300,0
2022/12/06,2:05,303,0
2022/12/06,2:10,304,0
2022/12/06,2:15,306,0
2022/12/06,2:20,309,0
2022/12/06,2:25,310,0
2022/12/06,2:30,311,0
2022/12/06,2:35,314,0
2022/12/06,2:40,316,0
2022/12/06,2:45,316,0
2022/12/06,2:50,315,0
2022/12/06,2:55,316,0
2022/12/06,3:00,318,0
2022/12/06,3:05,320,0
2022/12/06,3:10,322,0
2022/12/06,3:15,323,0
2022/12/06,3:20,323,0
2022/12/06,3:25,324,0
2022/12/06,3:30,323,0
2022/12/06,3:35,326,0
2022/12/06,3:40,325,0
2022/12/06,3:45,327,0
2022/12/06,3:50,329,0
2022/12/06,3:55,329,0
2022/12/06,4:00,329,0
