2022/10/5 9:22 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1152,11:00～12:00,10月5日,9:12,16,85

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
990,11:00～12:00,10月5日,9:12

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1113,13:00～14:00,10月5日,9:12,15,87

使用率ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
971,13:00～14:00,10月5日,9:12

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022/10/5,0:00,720,721,71,1012
2022/10/5,1:00,700,710,69,1014
2022/10/5,2:00,711,727,69,1024
2022/10/5,3:00,738,754,71,1033
2022/10/5,4:00,760,772,72,1050
2022/10/5,5:00,768,778,73,1049
2022/10/5,6:00,781,798,73,1067
2022/10/5,7:00,826,829,78,1056
2022/10/5,8:00,909,914,83,1095
2022/10/5,9:00,0,978,0,1113
2022/10/5,10:00,0,976,0,1140
2022/10/5,11:00,0,990,0,1152
2022/10/5,12:00,0,940,0,1088
2022/10/5,13:00,0,971,0,1113
2022/10/5,14:00,0,980,0,1137
2022/10/5,15:00,0,956,0,1143
2022/10/5,16:00,0,975,0,1131
2022/10/5,17:00,0,981,0,1177
2022/10/5,18:00,0,969,0,1122
2022/10/5,19:00,0,906,0,1086
2022/10/5,20:00,0,863,0,1019
2022/10/5,21:00,0,823,0,1024
2022/10/5,22:00,0,786,0,1014
2022/10/5,23:00,0,757,0,1000

最大使用率(%),時間帯
83,8:00～9:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
,,,,,

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
,,,

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間隔値)(万kW),風力発電実績(5分間隔値)(万kW)
2022/10/5,0:00,737,0,93
2022/10/5,0:05,737,0,93
2022/10/5,0:10,732,0,92
2022/10/5,0:15,723,0,91
2022/10/5,0:20,720,0,90
2022/10/5,0:25,720,0,90
2022/10/5,0:30,719,0,89
2022/10/5,0:35,716,0,88
2022/10/5,0:40,716,0,88
2022/10/5,0:45,712,0,90
2022/10/5,0:50,709,0,90
2022/10/5,0:55,708,0,89
2022/10/5,1:00,708,0,91
2022/10/5,1:05,708,0,92
2022/10/5,1:10,705,0,92
2022/10/5,1:15,705,0,94
2022/10/5,1:20,696,0,94
2022/10/5,1:25,694,0,94
2022/10/5,1:30,695,0,93
2022/10/5,1:35,696,0,92
2022/10/5,1:40,695,0,91
2022/10/5,1:45,696,0,92
2022/10/5,1:50,698,0,92
2022/10/5,1:55,701,0,93
2022/10/5,2:00,702,0,91
2022/10/5,2:05,703,0,91
2022/10/5,2:10,708,0,91
2022/10/5,2:15,709,0,92
2022/10/5,2:20,707,0,90
2022/10/5,2:25,709,0,91
2022/10/5,2:30,701,0,89
2022/10/5,2:35,704,0,88
2022/10/5,2:40,714,0,85
2022/10/5,2:45,720,0,86
2022/10/5,2:50,714,0,88
2022/10/5,2:55,718,0,88
2022/10/5,3:00,720,0,87
2022/10/5,3:05,729,0,86
2022/10/5,3:10,729,0,87
2022/10/5,3:15,733,0,86
2022/10/5,3:20,736,0,84
2022/10/5,3:25,740,0,83
2022/10/5,3:30,740,0,84
2022/10/5,3:35,740,0,85
2022/10/5,3:40,736,0,85
2022/10/5,3:45,738,0,84
2022/10/5,3:50,741,0,83
2022/10/5,3:55,745,0,83
2022/10/5,4:00,751,0,82
2022/10/5,4:05,756,0,81
2022/10/5,4:10,757,0,79
2022/10/5,4:15,758,0,80
2022/10/5,4:20,758,0,80
2022/10/5,4:25,759,0,80
2022/10/5,4:30,761,0,78
2022/10/5,4:35,755,0,75
2022/10/5,4:40,755,0,76
2022/10/5,4:45,765,0,78
2022/10/5,4:50,765,0,77
2022/10/5,4:55,768,0,75
2022/10/5,5:00,768,0,75
2022/10/5,5:05,773,0,74
2022/10/5,5:10,771,0,75
2022/10/5,5:15,773,0,76
2022/10/5,5:20,773,0,76
2022/10/5,5:25,768,0,74
2022/10/5,5:30,765,0,72
2022/10/5,5:35,762,0,71
2022/10/5,5:40,764,0,69
