2022/10/5 9:10 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4367,10:00～11:00,10/5,8:50,19,83

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3663,10:00～11:00,10/5,8:50

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
3085,6:00～7:00,10/5,8:50,15,86

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2678,6:00～7:00,10/5,8:50

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022/10/5,0:00,2632,2603,75,3502
2022/10/5,1:00,2485,2469,84,2948
2022/10/5,2:00,2431,2418,83,2926
2022/10/5,3:00,2441,2436,84,2905
2022/10/5,4:00,2469,2467,85,2883
2022/10/5,5:00,2527,2510,85,2946
2022/10/5,6:00,2662,2678,86,3085
2022/10/5,7:00,2941,3001,84,3481
2022/10/5,8:00,3276,3419,82,3993
2022/10/5,9:00,0,3631,,4299
2022/10/5,10:00,0,3663,,4367
2022/10/5,11:00,0,3636,,4335
2022/10/5,12:00,0,3512,,4187
2022/10/5,13:00,0,3575,,4262
2022/10/5,14:00,0,3565,,4250
2022/10/5,15:00,0,3541,,4222
2022/10/5,16:00,0,3519,,4195
2022/10/5,17:00,0,3463,,4129
2022/10/5,18:00,0,3374,,4022
2022/10/5,19:00,0,3223,,3843
2022/10/5,20:00,0,3068,,3658
2022/10/5,21:00,0,2892,,3455
2022/10/5,22:00,0,2776,,3313
2022/10/5,23:00,0,2626,,3130

最大使用率(%),時間帯
86,6:00～7:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
,,,,,

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
,,,

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW),太陽光発電量(電力使用量に対する割合)(%)
2022/10/5,0:00,2711,0,0
2022/10/5,0:05,2702,0,0
2022/10/5,0:10,2702,0,0
2022/10/5,0:15,2690,0,0
2022/10/5,0:20,2657,0,0
2022/10/5,0:25,2651,0,0
2022/10/5,0:30,2623,0,0
2022/10/5,0:35,2618,0,0
2022/10/5,0:40,2585,0,0
2022/10/5,0:45,2569,0,0
2022/10/5,0:50,2542,0,0
2022/10/5,0:55,2529,0,0
2022/10/5,1:00,2510,0,0
2022/10/5,1:05,2536,0,0
2022/10/5,1:10,2509,0,0
2022/10/5,1:15,2496,0,0
2022/10/5,1:20,2494,0,0
2022/10/5,1:25,2484,0,0
2022/10/5,1:30,2481,0,0
2022/10/5,1:35,2481,0,0
2022/10/5,1:40,2476,0,0
2022/10/5,1:45,2464,0,0
2022/10/5,1:50,2447,0,0
2022/10/5,1:55,2443,0,0
2022/10/5,2:00,2433,0,0
2022/10/5,2:05,2433,0,0
2022/10/5,2:10,2429,0,0
2022/10/5,2:15,2433,0,0
2022/10/5,2:20,2422,0,0
2022/10/5,2:25,2426,0,0
2022/10/5,2:30,2431,0,0
2022/10/5,2:35,2432,0,0
2022/10/5,2:40,2441,0,0
2022/10/5,2:45,2432,0,0
2022/10/5,2:50,2435,0,0
2022/10/5,2:55,2431,0,0
2022/10/5,3:00,2426,0,0
2022/10/5,3:05,2431,0,0
2022/10/5,3:10,2445,0,0
2022/10/5,3:15,2447,0,0
2022/10/5,3:20,2438,0,0
2022/10/5,3:25,2441,0,0
2022/10/5,3:30,2435,0,0
2022/10/5,3:35,2441,0,0
2022/10/5,3:40,2442,0,0
2022/10/5,3:45,2447,0,0
2022/10/5,3:50,2454,0,0
2022/10/5,3:55,2439,0,0
2022/10/5,4:00,2442,0,0
2022/10/5,4:05,2457,0,0
2022/10/5,4:10,2467,0,0
2022/10/5,4:15,2455,0,0
2022/10/5,4:20,2454,0,0
2022/10/5,4:25,2461,0,0
2022/10/5,4:30,2470,0,0
2022/10/5,4:35,2480,0,0
2022/10/5,4:40,2493,0,0
2022/10/5,4:45,2470,0,0
2022/10/5,4:50,2493,0,0
2022/10/5,4:55,2490,0,0
2022/10/5,5:00,2487,0,0
2022/10/5,5:05,2505,0,0
2022/10/5,5:10,2503,0,0
2022/10/5,5:15,2522,0,0
2022/10/5,5:20,2518,0,0
2022/10/5,5:25,2530,0,0
2022/10/5,5:30,2529,0,0
2022/10/5,5:35,2544,0,0
2022/10/5,5:40,2548,0,0
2022/10/5,5:45,2533,0,0
2022/10/5,5:50,2559,1,0
2022/10/5,5:55,2542,3,0
2022/10/5,6:00,2563,6,0
2022/10/5,6:05,2593,7,0
2022/10/5,6:10,2598,13,0
2022/10/5,6:15,2628,20,0
2022/10/5,6:20,2628,27,1
2022/10/5,6:25,2648,30,1
2022/10/5,6:30,2649,36,1
2022/10/5,6:35,2687,41,1
2022/10/5,6:40,2700,47,1
2022/10/5,6:45,2716,51,1
2022/10/5,6:50,2765,56,2
2022/10/5,6:55,2773,60,2
2022/10/5,7:00,2799,65,2
2022/10/5,7:05,2870,69,2
2022/10/5,7:10,2871,78,2
2022/10/5,7:15,2891,83,2
2022/10/5,7:20,2901,84,2
2022/10/5,7:25,2928,86,2
2022/10/5,7:30,2948,87,2
2022/10/5,7:35,2975,91,3
2022/10/5,7:40,2996,97,3
2022/10/5,7:45,3025,100,3
2022/10/5,7:50,3032,106,3
2022/10/5,7:55,3054,106,3
2022/10/5,8:00,3073,114,3
2022/10/5,8:05,3145,119,3
2022/10/5,8:10,3174,124,3
2022/10/5,8:15,3205,130,4
2022/10/5,8:20,3236,138,4
2022/10/5,8:25,3272,147,4
2022/10/5,8:30,3287,155,4
2022/10/5,8:35,3328,155,4
2022/10/5,8:40,3357,158,4
2022/10/5,8:45,3391,160,4
2022/10/5,8:50,3405,165,4
2022/10/5,8:55,3445,169,4
2022/10/5,9:00,3462,167,4
2022/10/5,9:05,3493,161,4
2022/10/5,9:10,3491,151,4
2022/10/5,9:15,,,
2022/10/5,9:20,,,
2022/10/5,9:25,,,
2022/10/5,9:30,,,
2022/10/5,9:35,,,
2022/10/5,9:40,,,
2022/10/5,9:45,,,
2022/10/5,9:50,,,
2022/10/5,9:55,,,
2022/10/5,10:00,,,
2022/10/5,10:05,,,
2022/10/5,10:10,,,
2022/10/5,10:15,,,
2022/10/5,10:20,,,
2022/10/5,10:25,,,
2022/10/5,10:30,,,
2022/10/5,10:35,,,
2022/10/5,10:40,,,
2022/10/5,10:45,,,
2022/10/5,10:50,,,
2022/10/5,10:55,,,
2022/10/5,11:00,,,
2022/10/5,11:05,,,
2022/10/5,11:10,,,
2022/10/5,11:15,,,
2022/10/5,11:20,,,
2022/10/5,11:25,,,
2022/10/5,11:30,,,
2022/10/5,11:35,,,
2022/10/5,11:40,,,
2022/10/5,11:45,,,
2022/10/5,11:50,,,
2022/10/5,11:55,,,
2022/10/5,12:00,,,
2022/10/5,12:05,,,
2022/10/5,12:10,,,
2022/10/5,12:15,,,
2022/10/5,12:20,,,
2022/10/5,12:25,,,
2022/10/5,12:30,,,
2022/10/5,12:35,,,
2022/10/5,12:40,,,
2022/10/5,12:45,,,
2022/10/5,12:50,,,
2022/10/5,12:55,,,
2022/10/5,13:00,,,
2022/10/5,13:05,,,
2022/10/5,13:10,,,
2022/10/5,13:15,,,
2022/10/5,13:20,,,
2022/10/5,13:25,,,
2022/10/5,13:30,,,
2022/10/5,13:35,,,
2022/10/5,13:40,,,
2022/10/5,13:45,,,
2022/10/5,13:50,,,
2022/10/5,13:55,,,
2022/10/5,14:00,,,
2022/10/5,14:05,,,
2022/10/5,14:10,,,
2022/10/5,14:15,,,
2022/10/5,14:20,,,
2022/10/5,14:25,,,
2022/10/5,14:30,,,
2022/10/5,14:35,,,
2022/10/5,14:40,,,
2022/10/5,14:45,,,
2022/10/5,14:50,,,
2022/10/5,14:55,,,
2022/10/5,15:00,,,
2022/10/5,15:05,,,
2022/10/5,15:10,,,
2022/10/5,15:15,,,
2022/10/5,15:20,,,
2022/10/5,15:25,,,
2022/10/5,15:30,,,
2022/10/5,15:35,,,
2022/10/5,15:40,,,
2022/10/5,15:45,,,
2022/10/5,15:50,,,
2022/10/5,15:55,,,
2022/10/5,16:00,,,
2022/10/5,16:05,,,
2022/10/5,16:10,,,
2022/10/5,16:15,,,
2022/10/5,16:20,,,
2022/10/5,16:25,,,
2022/10/5,16:30,,,
2022/10/5,16:35,,,
2022/10/5,16:40,,,
2022/10/5,16:45,,,
2022/10/5,16:50,,,
2022/10/5,16:55,,,
2022/10/5,17:00,,,
2022/10/5,17:05,,,
2022/10/5,17:10,,,
2022/10/5,17:15,,,
2022/10/5,17:20,,,
2022/10/5,17:25,,,
2022/10/5,17:30,,,
2022/10/5,17:35,,,
2022/10/5,17:40,,,
2022/10/5,17:45,,,
2022/10/5,17:50,,,
2022/10/5,17:55,,,
2022/10/5,18:00,,,
2022/10/5,18:05,,,
2022/10/5,18:10,,,
2022/10/5,18:15,,,
2022/10/5,18:20,,,
2022/10/5,18:25,,,
2022/10/5,18:30,,,
2022/10/5,18:35,,,
2022/10/5,18:40,,,
2022/10/5,18:45,,,
2022/10/5,18:50,,,
2022/10/5,18:55,,,
2022/10/5,19:00,,,
2022/10/5,19:05,,,
2022/10/5,19:10,,,
2022/10/5,19:15,,,
2022/10/5,19:20,,,
2022/10/5,19:25,,,
2022/10/5,19:30,,,
2022/10/5,19:35,,,
2022/10/5,19:40,,,
2022/10/5,19:45,,,
