2022/09/26 16:38 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
862,14:00～15:00,09月26日,16:11,12,89

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
770,14:00～15:00,09月26日,16:11

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
812,18:00～19:00,09月26日,16:11,12,89

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
728,18:00～19:00,09月26日,16:11

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022/9/26,0:00,482,489,80,600
2022/9/26,1:00,463,465,77,597
2022/9/26,2:00,477,470,78,606
2022/9/26,3:00,511,538,82,618
2022/9/26,4:00,540,558,85,634
2022/9/26,5:00,546,543,85,636
2022/9/26,6:00,550,551,85,644
2022/9/26,7:00,564,568,81,695
2022/9/26,8:00,637,626,82,770
2022/9/26,9:00,684,677,82,830
2022/9/26,10:00,716,712,87,814
2022/9/26,11:00,737,725,84,874
2022/9/26,12:00,721,723,79,902
2022/9/26,13:00,772,747,87,884
2022/9/26,14:00,784,770,90,862
2022/9/26,15:00,787,770,91,860
2022/9/26,16:00,0,766,0,864
2022/9/26,17:00,0,734,0,817
2022/9/26,18:00,0,728,0,812
2022/9/26,19:00,0,696,0,776
2022/9/26,20:00,0,657,0,733
2022/9/26,21:00,0,630,0,702
2022/9/26,22:00,0,603,0,673
2022/9/26,23:00,0,578,0,645

最大使用率(%),時間帯
91,15:00～16:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
812,14:00～15:00,09月26日,15:45,11,90

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
731,14:00～15:00,09月26日,15:45

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
783,17:00～18:00,09月26日,15:45,11,90

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
705,17:00～18:00,09月26日,15:45

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2022/9/26,0:00,498,0
2022/9/26,0:05,497,0
2022/9/26,0:10,496,0
2022/9/26,0:15,489,0
2022/9/26,0:20,478,0
2022/9/26,0:25,482,0
2022/9/26,0:30,481,0
2022/9/26,0:35,474,0
2022/9/26,0:40,477,0
2022/9/26,0:45,475,0
2022/9/26,0:50,467,0
2022/9/26,0:55,468,0
2022/9/26,1:00,470,0
2022/9/26,1:05,463,0
2022/9/26,1:10,463,0
2022/9/26,1:15,461,0
2022/9/26,1:20,459,0
2022/9/26,1:25,458,0
2022/9/26,1:30,453,0
2022/9/26,1:35,461,0
2022/9/26,1:40,468,0
2022/9/26,1:45,471,0
2022/9/26,1:50,467,0
2022/9/26,1:55,466,0
2022/9/26,2:00,471,0
2022/9/26,2:05,470,0
2022/9/26,2:10,471,0
2022/9/26,2:15,473,0
2022/9/26,2:20,470,0
2022/9/26,2:25,468,0
2022/9/26,2:30,476,0
2022/9/26,2:35,481,0
2022/9/26,2:40,485,0
2022/9/26,2:45,486,0
2022/9/26,2:50,485,0
2022/9/26,2:55,493,0
2022/9/26,3:00,491,0
2022/9/26,3:05,500,0
2022/9/26,3:10,498,0
2022/9/26,3:15,505,0
2022/9/26,3:20,509,0
2022/9/26,3:25,508,0
2022/9/26,3:30,519,0
2022/9/26,3:35,515,0
2022/9/26,3:40,517,0
2022/9/26,3:45,524,0
2022/9/26,3:50,524,0
2022/9/26,3:55,525,0
2022/9/26,4:00,530,0
2022/9/26,4:05,534,0
2022/9/26,4:10,534,0
2022/9/26,4:15,537,0
2022/9/26,4:20,534,0
2022/9/26,4:25,537,0
2022/9/26,4:30,544,0
2022/9/26,4:35,547,0
2022/9/26,4:40,549,0
2022/9/26,4:45,542,0
2022/9/26,4:50,545,0
2022/9/26,4:55,546,0
2022/9/26,5:00,550,0
2022/9/26,5:05,550,0
2022/9/26,5:10,551,0
2022/9/26,5:15,551,0
2022/9/26,5:20,553,0
2022/9/26,5:25,548,0
2022/9/26,5:30,550,0
2022/9/26,5:35,545,0
2022/9/26,5:40,542,0
2022/9/26,5:45,538,0
2022/9/26,5:50,537,0
2022/9/26,5:55,543,0
2022/9/26,6:00,544,1
2022/9/26,6:05,549,1
2022/9/26,6:10,546,4
2022/9/26,6:15,546,7
2022/9/26,6:20,545,12
2022/9/26,6:25,546,17
2022/9/26,6:30,552,22
2022/9/26,6:35,552,28
2022/9/26,6:40,552,33
2022/9/26,6:45,547,39
2022/9/26,6:50,557,46
2022/9/26,6:55,559,52
2022/9/26,7:00,561,59
2022/9/26,7:05,555,68
2022/9/26,7:10,557,75
2022/9/26,7:15,558,82
2022/9/26,7:20,557,90
2022/9/26,7:25,556,96
2022/9/26,7:30,563,102
2022/9/26,7:35,564,109
2022/9/26,7:40,567,113
2022/9/26,7:45,576,119
2022/9/26,7:50,575,127
2022/9/26,7:55,584,137
2022/9/26,8:00,597,144
2022/9/26,8:05,610,151
2022/9/26,8:10,614,158
2022/9/26,8:15,618,164
2022/9/26,8:20,623,171
2022/9/26,8:25,632,176
2022/9/26,8:30,640,181
2022/9/26,8:35,647,187
2022/9/26,8:40,661,191
2022/9/26,8:45,670,195
2022/9/26,8:50,666,199
2022/9/26,8:55,671,201
2022/9/26,9:00,668,202
2022/9/26,9:05,669,207
2022/9/26,9:10,671,214
2022/9/26,9:15,673,220
2022/9/26,9:20,675,227
2022/9/26,9:25,691,231
2022/9/26,9:30,683,239
2022/9/26,9:35,689,245
2022/9/26,9:40,699,251
2022/9/26,9:45,695,257
2022/9/26,9:50,696,267
2022/9/26,9:55,696,274
2022/9/26,10:00,689,278
2022/9/26,10:05,695,283
2022/9/26,10:10,699,292
2022/9/26,10:15,705,296
2022/9/26,10:20,718,301
2022/9/26,10:25,722,305
2022/9/26,10:30,720,311
2022/9/26,10:35,726,313
2022/9/26,10:40,730,317
2022/9/26,10:45,729,322
2022/9/26,10:50,728,325
2022/9/26,10:55,732,323
2022/9/26,11:00,737,324
2022/9/26,11:05,741,328
2022/9/26,11:10,738,329
2022/9/26,11:15,736,329
2022/9/26,11:20,736,326
2022/9/26,11:25,742,326
2022/9/26,11:30,734,325
2022/9/26,11:35,737,328
2022/9/26,11:40,738,328
2022/9/26,11:45,729,329
2022/9/26,11:50,735,331
2022/9/26,11:55,744,332
2022/9/26,12:00,735,329
2022/9/26,12:05,724,325
2022/9/26,12:10,722,321
2022/9/26,12:15,721,321
2022/9/26,12:20,710,317
2022/9/26,12:25,711,312
2022/9/26,12:30,710,313
2022/9/26,12:35,718,314
2022/9/26,12:40,721,311
2022/9/26,12:45,723,314
2022/9/26,12:50,727,311
2022/9/26,12:55,733,307
2022/9/26,13:00,750,301
2022/9/26,13:05,762,300
2022/9/26,13:10,766,298
2022/9/26,13:15,773,299
2022/9/26,13:20,777,297
2022/9/26,13:25,780,291
2022/9/26,13:30,784,281
2022/9/26,13:35,779,276
2022/9/26,13:40,776,272
2022/9/26,13:45,773,265
2022/9/26,13:50,773,258
2022/9/26,13:55,771,256
2022/9/26,14:00,772,254
2022/9/26,14:05,777,248
2022/9/26,14:10,779,242
2022/9/26,14:15,782,235
2022/9/26,14:20,778,229
2022/9/26,14:25,787,227
2022/9/26,14:30,784,222
2022/9/26,14:35,788,218
2022/9/26,14:40,791,209
2022/9/26,14:45,792,204
2022/9/26,14:50,792,196
2022/9/26,14:55,784,188
2022/9/26,15:00,791,183
2022/9/26,15:05,786,176
2022/9/26,15:10,783,171
2022/9/26,15:15,780,163
2022/9/26,15:20,779,157
2022/9/26,15:25,782,151
2022/9/26,15:30,781,147
2022/9/26,15:35,783,143
2022/9/26,15:40,791,138
