2022/9/26 16:35 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
395,17:00～18:00,9月26日,16:11,14,87

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
348,17:00～18:00,9月26日,16:11

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
395,17:00～18:00,9月26日,16:11,14,87

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
348,17:00～18:00,9月26日,16:11

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2022/9/26,0:00,240,241,72,331
2022/9/26,1:00,238,238,72,330
2022/9/26,2:00,252,252,76,330
2022/9/26,3:00,271,270,81,333
2022/9/26,4:00,278,277,81,342
2022/9/26,5:00,271,273,79,339
2022/9/26,6:00,277,273,77,358
2022/9/26,7:00,283,276,73,387
2022/9/26,8:00,297,301,74,400
2022/9/26,9:00,306,325,77,397
2022/9/26,10:00,311,326,74,417
2022/9/26,11:00,318,324,73,430
2022/9/26,12:00,305,302,69,436
2022/9/26,13:00,314,318,72,434
2022/9/26,14:00,316,324,75,415
2022/9/26,15:00,323,327,80,403
2022/9/26,16:00,,335,,396
2022/9/26,17:00,,348,,395
2022/9/26,18:00,,343,,399
2022/9/26,19:00,,332,,405
2022/9/26,20:00,,311,,396
2022/9/26,21:00,,293,,386
2022/9/26,22:00,,276,,380
2022/9/26,23:00,,265,,371

最大使用率(%),時間帯
81,4:00～5:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
,,,,,

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
,,,

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2022/9/26,0:00,247,0
2022/9/26,0:05,246,0
2022/9/26,0:10,244,0
2022/9/26,0:15,241,0
2022/9/26,0:20,241,0
2022/9/26,0:25,242,0
2022/9/26,0:30,240,0
2022/9/26,0:35,235,0
2022/9/26,0:40,236,0
2022/9/26,0:45,235,0
2022/9/26,0:50,232,0
2022/9/26,0:55,235,0
2022/9/26,1:00,237,0
2022/9/26,1:05,236,0
2022/9/26,1:10,236,0
2022/9/26,1:15,233,0
2022/9/26,1:20,233,0
2022/9/26,1:25,236,0
2022/9/26,1:30,238,0
2022/9/26,1:35,236,0
2022/9/26,1:40,237,0
2022/9/26,1:45,237,0
2022/9/26,1:50,238,0
2022/9/26,1:55,238,0
2022/9/26,2:00,242,0
2022/9/26,2:05,245,0
2022/9/26,2:10,246,0
2022/9/26,2:15,247,0
2022/9/26,2:20,246,0
2022/9/26,2:25,248,0
2022/9/26,2:30,251,0
2022/9/26,2:35,254,0
2022/9/26,2:40,257,0
2022/9/26,2:45,258,0
2022/9/26,2:50,260,0
2022/9/26,2:55,260,0
2022/9/26,3:00,261,0
2022/9/26,3:05,265,0
2022/9/26,3:10,267,0
2022/9/26,3:15,270,0
2022/9/26,3:20,268,0
2022/9/26,3:25,268,0
2022/9/26,3:30,270,0
2022/9/26,3:35,272,0
2022/9/26,3:40,273,0
2022/9/26,3:45,273,0
2022/9/26,3:50,273,0
2022/9/26,3:55,274,0
2022/9/26,4:00,273,0
2022/9/26,4:05,276,0
2022/9/26,4:10,277,0
2022/9/26,4:15,279,0
2022/9/26,4:20,277,0
2022/9/26,4:25,275,0
2022/9/26,4:30,275,0
2022/9/26,4:35,277,0
2022/9/26,4:40,278,0
2022/9/26,4:45,276,0
2022/9/26,4:50,276,0
2022/9/26,4:55,277,0
2022/9/26,5:00,276,0
2022/9/26,5:05,276,0
2022/9/26,5:10,276,0
2022/9/26,5:15,274,0
2022/9/26,5:20,272,0
2022/9/26,5:25,268,0
2022/9/26,5:30,269,3
2022/9/26,5:35,269,3
2022/9/26,5:40,267,3
2022/9/26,5:45,262,3
2022/9/26,5:50,263,3
2022/9/26,5:55,262,4
2022/9/26,6:00,277,12
2022/9/26,6:05,277,12
2022/9/26,6:10,274,12
2022/9/26,6:15,275,13
2022/9/26,6:20,274,13
2022/9/26,6:25,274,14
2022/9/26,6:30,281,22
2022/9/26,6:35,279,23
2022/9/26,6:40,278,23
2022/9/26,6:45,278,24
2022/9/26,6:50,277,24
2022/9/26,6:55,274,26
2022/9/26,7:00,283,35
2022/9/26,7:05,283,36
2022/9/26,7:10,280,40
2022/9/26,7:15,281,40
2022/9/26,7:20,281,45
2022/9/26,7:25,280,44
2022/9/26,7:30,286,50
2022/9/26,7:35,283,50
2022/9/26,7:40,284,56
2022/9/26,7:45,282,60
2022/9/26,7:50,281,63
2022/9/26,7:55,280,64
2022/9/26,8:00,290,71
2022/9/26,8:05,293,74
2022/9/26,8:10,293,74
2022/9/26,8:15,295,74
2022/9/26,8:20,294,74
2022/9/26,8:25,293,72
2022/9/26,8:30,300,82
2022/9/26,8:35,299,88
2022/9/26,8:40,299,88
2022/9/26,8:45,300,89
2022/9/26,8:50,299,90
2022/9/26,8:55,298,92
2022/9/26,9:00,306,101
2022/9/26,9:05,306,102
2022/9/26,9:10,305,103
2022/9/26,9:15,303,103
2022/9/26,9:20,302,106
2022/9/26,9:25,302,108
2022/9/26,9:30,309,117
2022/9/26,9:35,308,118
2022/9/26,9:40,307,119
2022/9/26,9:45,307,120
2022/9/26,9:50,305,122
2022/9/26,9:55,303,123
2022/9/26,10:00,307,131
2022/9/26,10:05,306,132
2022/9/26,10:10,306,133
2022/9/26,10:15,305,134
2022/9/26,10:20,307,135
2022/9/26,10:25,309,135
2022/9/26,10:30,313,140
2022/9/26,10:35,312,142
2022/9/26,10:40,313,142
2022/9/26,10:45,313,143
2022/9/26,10:50,313,144
2022/9/26,10:55,313,145
2022/9/26,11:00,315,147
2022/9/26,11:05,316,147
2022/9/26,11:10,317,149
2022/9/26,11:15,316,149
2022/9/26,11:20,317,149
2022/9/26,11:25,315,148
2022/9/26,11:30,317,150
2022/9/26,11:35,317,151
2022/9/26,11:40,317,151
2022/9/26,11:45,316,151
2022/9/26,11:50,317,151
2022/9/26,11:55,317,150
2022/9/26,12:00,312,149
2022/9/26,12:05,309,148
2022/9/26,12:10,307,148
2022/9/26,12:15,304,148
2022/9/26,12:20,303,148
2022/9/26,12:25,302,147
2022/9/26,12:30,298,142
2022/9/26,12:35,299,142
2022/9/26,12:40,300,139
2022/9/26,12:45,302,141
2022/9/26,12:50,305,138
2022/9/26,12:55,308,138
2022/9/26,13:00,307,131
2022/9/26,13:05,314,132
2022/9/26,13:10,315,130
2022/9/26,13:15,316,130
2022/9/26,13:20,317,130
2022/9/26,13:25,319,130
2022/9/26,13:30,309,119
2022/9/26,13:35,309,120
2022/9/26,13:40,310,119
2022/9/26,13:45,313,119
2022/9/26,13:50,313,117
2022/9/26,13:55,316,118
2022/9/26,14:00,309,107
2022/9/26,14:05,312,107
2022/9/26,14:10,313,105
2022/9/26,14:15,315,104
2022/9/26,14:20,316,103
2022/9/26,14:25,317,102
2022/9/26,14:30,311,92
2022/9/26,14:35,314,90
2022/9/26,14:40,316,89
2022/9/26,14:45,316,88
2022/9/26,14:50,319,86
2022/9/26,14:55,319,84
2022/9/26,15:00,308,70
2022/9/26,15:05,310,68
2022/9/26,15:10,313,67
2022/9/26,15:15,319,66
2022/9/26,15:20,323,63
2022/9/26,15:25,326,63
2022/9/26,15:30,319,51
2022/9/26,15:35,321,49
2022/9/26,15:40,325,48
2022/9/26,15:45,328,46
2022/9/26,15:50,330,44
2022/9/26,15:55,334,42
2022/9/26,16:00,331,31
2022/9/26,16:05,335,29
2022/9/26,16:10,338,27
2022/9/26,16:15,342,26
2022/9/26,16:20,345,24
2022/9/26,16:25,347,22
2022/9/26,16:30,341,14
2022/9/26,16:35,,
2022/9/26,16:40,,
2022/9/26,16:45,,
2022/9/26,16:50,,
2022/9/26,16:55,,
2022/9/26,17:00,,
2022/9/26,17:05,,
2022/9/26,17:10,,
2022/9/26,17:15,,
2022/9/26,17:20,,
2022/9/26,17:25,,
2022/9/26,17:30,,
2022/9/26,17:35,,
2022/9/26,17:40,,
2022/9/26,17:45,,
2022/9/26,17:50,,
2022/9/26,17:55,,
2022/9/26,18:00,,
2022/9/26,18:05,,
2022/9/26,18:10,,
2022/9/26,18:15,,
2022/9/26,18:20,,
2022/9/26,18:25,,
2022/9/26,18:30,,
2022/9/26,18:35,,
2022/9/26,18:40,,
2022/9/26,18:45,,
2022/9/26,18:50,,
2022/9/26,18:55,,
2022/9/26,19:00,,
2022/9/26,19:05,,
2022/9/26,19:10,,
2022/9/26,19:15,,
2022/9/26,19:20,,
2022/9/26,19:25,,
2022/9/26,19:30,,
2022/9/26,19:35,,
2022/9/26,19:40,,
2022/9/26,19:45,,
2022/9/26,19:50,,
2022/9/26,19:55,,
2022/9/26,20:00,,
2022/9/26,20:05,,
2022/9/26,20:10,,
2022/9/26,20:15,,
2022/9/26,20:20,,
2022/9/26,20:25,,
2022/9/26,20:30,,
2022/9/26,20:35,,
2022/9/26,20:40,,
2022/9/26,20:45,,
2022/9/26,20:50,,
2022/9/26,20:55,,
2022/9/26,21:00,,
2022/9/26,21:05,,
2022/9/26,21:10,,
2022/9/26,21:15,,
2022/9/26,21:20,,
2022/9/26,21:25,,
2022/9/26,21:30,,
2022/9/26,21:35,,
2022/9/26,21:40,,
2022/9/26,21:45,,
2022/9/26,21:50,,
2022/9/26,21:55,,
2022/9/26,22:00,,
2022/9/26,22:05,,
2022/9/26,22:10,,
2022/9/26,22:15,,
2022/9/26,22:20,,
2022/9/26,22:25,,
2022/9/26,22:30,,
2022/9/26,22:35,,
2022/9/26,22:40,,
2022/9/26,22:45,,
2022/9/26,22:50,,
2022/9/26,22:55,,
2022/9/26,23:00,,
2022/9/26,23:05,,
2022/9/26,23:10,,
2022/9/26,23:15,,
2022/9/26,23:20,,
2022/9/26,23:25,,
2022/9/26,23:30,,
2022/9/26,23:35,,
2022/9/26,23:40,,
2022/9/26,23:45,,
2022/9/26,23:50,,
2022/9/26,23:55,,
