2022/9/30 10:05 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時使用率(%)
2269,14:00～15:00,9/30,9:43,86

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1960,14:00～15:00,9/30,9:43

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時使用率(%)
1402,0:00～1:00,9/30,9:43,87

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1250,0:00～1:00,9/30,9:43

最大使用率(%),予想気温(最低),予想気温(最高),気温実績(最低),気温実績(最高)
88,*,*,*,*

DATE,TIME,当日実績(万kW),予想値(万kW),使用率(%),供給力想定値(万kW)
2022/9/30,0:00,1232,1250,87,1402
2022/9/30,1:00,1165,1190,87,1336
2022/9/30,2:00,1179,1200,87,1352
2022/9/30,3:00,1231,1240,88,1398
2022/9/30,4:00,1257,1270,87,1436
2022/9/30,5:00,1256,1270,87,1440
2022/9/30,6:00,1270,1310,85,1494
2022/9/30,7:00,1382,1430,84,1638
2022/9/30,8:00,1556,1600,84,1851
2022/9/30,9:00,0,1740,86,2013
2022/9/30,10:00,0,1830,86,2119
2022/9/30,11:00,0,1870,86,2167
2022/9/30,12:00,0,1840,84,2171
2022/9/30,13:00,0,1930,86,2236
2022/9/30,14:00,0,1960,86,2269
2022/9/30,15:00,0,1940,86,2246
2022/9/30,16:00,0,1890,87,2169
2022/9/30,17:00,0,1820,87,2078
2022/9/30,18:00,0,1740,87,1980
2022/9/30,19:00,0,1640,86,1899
2022/9/30,20:00,0,1560,86,1806
2022/9/30,21:00,0,1480,86,1713
2022/9/30,22:00,0,1430,86,1655
2022/9/30,23:00,0,1380,86,1598

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時使用率(%)
,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時使用率(%)
,,,,

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
,,,

予想気温(最低),予想気温(最高)
,

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2022/9/30,0:00,1287,0
2022/9/30,0:05,1274,0
2022/9/30,0:10,1276,0
2022/9/30,0:15,1265,0
2022/9/30,0:20,1263,0
2022/9/30,0:25,1247,0
2022/9/30,0:30,1232,0
2022/9/30,0:35,1217,0
2022/9/30,0:40,1215,0
2022/9/30,0:45,1204,0
2022/9/30,0:50,1202,0
2022/9/30,0:55,1198,0
2022/9/30,1:00,1185,0
2022/9/30,1:05,1176,0
2022/9/30,1:10,1173,0
2022/9/30,1:15,1171,0
2022/9/30,1:20,1169,0
2022/9/30,1:25,1165,0
2022/9/30,1:30,1159,0
2022/9/30,1:35,1161,0
2022/9/30,1:40,1161,0
2022/9/30,1:45,1161,0
2022/9/30,1:50,1162,0
2022/9/30,1:55,1159,0
2022/9/30,2:00,1163,0
2022/9/30,2:05,1159,0
2022/9/30,2:10,1165,0
2022/9/30,2:15,1163,0
2022/9/30,2:20,1169,0
2022/9/30,2:25,1170,0
2022/9/30,2:30,1167,0
2022/9/30,2:35,1178,0
2022/9/30,2:40,1192,0
2022/9/30,2:45,1197,0
2022/9/30,2:50,1191,0
2022/9/30,2:55,1192,0
2022/9/30,3:00,1203,0
2022/9/30,3:05,1206,0
2022/9/30,3:10,1211,0
2022/9/30,3:15,1216,0
2022/9/30,3:20,1232,0
2022/9/30,3:25,1243,0
2022/9/30,3:30,1235,0
2022/9/30,3:35,1233,0
2022/9/30,3:40,1231,0
2022/9/30,3:45,1233,0
2022/9/30,3:50,1241,0
2022/9/30,3:55,1245,0
2022/9/30,4:00,1244,0
2022/9/30,4:05,1246,0
2022/9/30,4:10,1245,0
2022/9/30,4:15,1250,0
2022/9/30,4:20,1254,0
2022/9/30,4:25,1254,0
2022/9/30,4:30,1248,0
2022/9/30,4:35,1252,0
2022/9/30,4:40,1262,0
2022/9/30,4:45,1278,0
2022/9/30,4:50,1275,0
2022/9/30,4:55,1258,0
2022/9/30,5:00,1258,0
2022/9/30,5:05,1263,0
2022/9/30,5:10,1257,0
2022/9/30,5:15,1253,0
2022/9/30,5:20,1258,0
2022/9/30,5:25,1265,0
2022/9/30,5:30,1262,0
2022/9/30,5:35,1258,0
2022/9/30,5:40,1254,0
2022/9/30,5:45,1254,0
2022/9/30,5:50,1252,0
2022/9/30,5:55,1252,0
2022/9/30,6:00,1247,1
2022/9/30,6:05,1254,4
2022/9/30,6:10,1262,7
2022/9/30,6:15,1263,11
2022/9/30,6:20,1259,16
2022/9/30,6:25,1255,21
2022/9/30,6:30,1256,27
2022/9/30,6:35,1259,43
2022/9/30,6:40,1262,59
2022/9/30,6:45,1273,69
2022/9/30,6:50,1282,79
2022/9/30,6:55,1291,90
2022/9/30,7:00,1322,88
2022/9/30,7:05,1329,98
2022/9/30,7:10,1340,109
2022/9/30,7:15,1353,119
2022/9/30,7:20,1360,130
2022/9/30,7:25,1368,140
2022/9/30,7:30,1366,151
2022/9/30,7:35,1379,161
2022/9/30,7:40,1386,171
2022/9/30,7:45,1406,181
2022/9/30,7:50,1420,191
2022/9/30,7:55,1437,201
2022/9/30,8:00,1445,206
2022/9/30,8:05,1466,216
2022/9/30,8:10,1483,226
2022/9/30,8:15,1497,236
2022/9/30,8:20,1513,245
2022/9/30,8:25,1529,254
2022/9/30,8:30,1543,263
2022/9/30,8:35,1574,272
2022/9/30,8:40,1590,281
2022/9/30,8:45,1590,290
2022/9/30,8:50,1609,299
2022/9/30,8:55,1627,308
2022/9/30,9:00,1645,317
2022/9/30,9:05,1662,326
2022/9/30,9:10,1678,335
