2022/9/30 10:14 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1220,16:00～17:00,9/30,9:46,9,92

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1116,16:00～17:00,9/30,9:46

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
889,4:00～5:00,9/30,9:46,8,93

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
823,4:00～5:00,9/30,9:46

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),予備率(%),供給力想定値(万kW)
2022/9/30,0:00,758,757,88,14,865
2022/9/30,1:00,723,724,87,15,834
2022/9/30,2:00,736,739,88,13,832
2022/9/30,3:00,774,776,91,10,848
2022/9/30,4:00,818,816,92,9,889
2022/9/30,5:00,836,846,91,10,919
2022/9/30,6:00,819,828,91,10,902
2022/9/30,7:00,810,832,80,25,1009
2022/9/30,8:00,860,891,76,31,1125
2022/9/30,9:00,940,962,77,30,1218
2022/9/30,10:00,0,1018,0,0,1339
2022/9/30,11:00,0,1073,0,0,1403
2022/9/30,12:00,0,1046,0,0,1403
2022/9/30,13:00,0,1086,0,0,1340
2022/9/30,14:00,0,1102,0,0,1277
2022/9/30,15:00,0,1099,0,0,1270
2022/9/30,16:00,0,1116,0,0,1220
2022/9/30,17:00,0,1081,0,0,1181
2022/9/30,18:00,0,1073,0,0,1162
2022/9/30,19:00,0,1033,0,0,1129
2022/9/30,20:00,0,968,0,0,1058
2022/9/30,21:00,0,914,0,0,999
2022/9/30,22:00,0,868,0,0,949
2022/9/30,23:00,0,823,0,0,899

最大使用率(%),時間帯
92,4:00～5:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
,,,,,

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
,,,

DATE,TIME,当日実績(５分間隔値）(万kW),太陽光発電実績(５分間隔値）(万kW)
2022/9/30,0:00,790,0
2022/9/30,0:05,777,0
2022/9/30,0:10,775,0
2022/9/30,0:15,769,0
2022/9/30,0:20,761,0
2022/9/30,0:25,757,0
2022/9/30,0:30,751,0
2022/9/30,0:35,752,0
2022/9/30,0:40,755,0
2022/9/30,0:45,736,0
2022/9/30,0:50,737,0
2022/9/30,0:55,730,0
2022/9/30,1:00,732,0
2022/9/30,1:05,729,0
2022/9/30,1:10,728,0
2022/9/30,1:15,724,0
2022/9/30,1:20,720,0
2022/9/30,1:25,721,0
2022/9/30,1:30,716,0
2022/9/30,1:35,725,0
2022/9/30,1:40,727,0
2022/9/30,1:45,718,0
2022/9/30,1:50,710,0
2022/9/30,1:55,711,0
2022/9/30,2:00,721,0
2022/9/30,2:05,716,0
2022/9/30,2:10,728,0
2022/9/30,2:15,728,0
2022/9/30,2:20,729,0
2022/9/30,2:25,733,0
2022/9/30,2:30,737,0
2022/9/30,2:35,740,0
2022/9/30,2:40,737,0
2022/9/30,2:45,746,0
2022/9/30,2:50,749,0
2022/9/30,2:55,756,0
2022/9/30,3:00,759,0
2022/9/30,3:05,742,0
2022/9/30,3:10,759,0
2022/9/30,3:15,774,0
2022/9/30,3:20,776,0
2022/9/30,3:25,769,0
