2022/09/26 16:40 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
523,14:00～15:00,9月26日,16:13,30,76

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
401,14:00～15:00,9月26日,16:13

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
403,17:00～18:00,9月26日,16:13,11,90

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
363,17:00～18:00,9月26日,16:13

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2022/09/26,0:00,214,216,69,308
2022/09/26,1:00,208,209,68,302
2022/09/26,2:00,214,215,69,308
2022/09/26,3:00,231,235,71,322
2022/09/26,4:00,251,255,73,341
2022/09/26,5:00,261,263,74,352
2022/09/26,6:00,256,253,75,339
2022/09/26,7:00,267,257,77,345
2022/09/26,8:00,313,306,77,402
2022/09/26,9:00,349,336,77,451
2022/09/26,10:00,366,362,74,489
2022/09/26,11:00,381,370,74,509
2022/09/26,12:00,376,362,75,496
2022/09/26,13:00,398,386,76,517
2022/09/26,14:00,398,401,76,523
2022/09/26,15:00,397,394,78,505
2022/09/26,16:00,0,393,0,437
2022/09/26,17:00,0,363,0,403
2022/09/26,18:00,0,352,0,394
2022/09/26,19:00,0,332,0,409
2022/09/26,20:00,0,315,0,402
2022/09/26,21:00,0,295,0,392
2022/09/26,22:00,0,276,0,401
2022/09/26,23:00,0,269,0,416

最大使用率(%),時間帯
78,15:00～16:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
,,,,,

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
,,,

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間隔値)(万kW)
2022/09/26,0:00,220,0
2022/09/26,0:05,218,0
2022/09/26,0:10,217,0
2022/09/26,0:15,216,0
2022/09/26,0:20,214,0
2022/09/26,0:25,213,0
2022/09/26,0:30,211,0
2022/09/26,0:35,210,0
2022/09/26,0:40,209,0
2022/09/26,0:45,209,0
2022/09/26,0:50,208,0
2022/09/26,0:55,208,0
2022/09/26,1:00,206,0
2022/09/26,1:05,207,0
2022/09/26,1:10,207,0
2022/09/26,1:15,207,0
2022/09/26,1:20,205,0
2022/09/26,1:25,206,0
2022/09/26,1:30,205,0
2022/09/26,1:35,205,0
2022/09/26,1:40,205,0
2022/09/26,1:45,205,0
2022/09/26,1:50,205,0
2022/09/26,1:55,206,0
2022/09/26,2:00,205,0
2022/09/26,2:05,207,0
2022/09/26,2:10,207,0
2022/09/26,2:15,207,0
2022/09/26,2:20,207,0
2022/09/26,2:25,209,0
2022/09/26,2:30,210,0
2022/09/26,2:35,212,0
2022/09/26,2:40,214,0
2022/09/26,2:45,215,0
2022/09/26,2:50,215,0
2022/09/26,2:55,217,0
2022/09/26,3:00,219,0
2022/09/26,3:05,220,0
2022/09/26,3:10,222,0
2022/09/26,3:15,223,0
2022/09/26,3:20,226,0
2022/09/26,3:25,228,0
2022/09/26,3:30,228,0
2022/09/26,3:35,230,0
2022/09/26,3:40,233,0
2022/09/26,3:45,234,0
2022/09/26,3:50,236,0
2022/09/26,3:55,237,0
2022/09/26,4:00,239,0
2022/09/26,4:05,241,0
2022/09/26,4:10,242,0
2022/09/26,4:15,243,0
2022/09/26,4:20,245,0
2022/09/26,4:25,245,0
2022/09/26,4:30,247,0
2022/09/26,4:35,248,0
2022/09/26,4:40,254,0
2022/09/26,4:45,255,0
2022/09/26,4:50,255,0
2022/09/26,4:55,256,0
2022/09/26,5:00,257,0
2022/09/26,5:05,258,0
2022/09/26,5:10,260,0
2022/09/26,5:15,260,0
2022/09/26,5:20,261,0
2022/09/26,5:25,261,0
2022/09/26,5:30,260,0
2022/09/26,5:35,261,0
2022/09/26,5:40,259,0
2022/09/26,5:45,259,0
2022/09/26,5:50,257,0
2022/09/26,5:55,258,0
2022/09/26,6:00,256,0
2022/09/26,6:05,257,0
2022/09/26,6:10,255,1
2022/09/26,6:15,255,3
2022/09/26,6:20,253,5
2022/09/26,6:25,252,9
2022/09/26,6:30,251,11
2022/09/26,6:35,251,15
2022/09/26,6:40,250,18
2022/09/26,6:45,250,22
2022/09/26,6:50,249,26
2022/09/26,6:55,249,29
2022/09/26,7:00,250,33
2022/09/26,7:05,251,37
2022/09/26,7:10,254,42
2022/09/26,7:15,255,46
2022/09/26,7:20,257,51
2022/09/26,7:25,258,56
2022/09/26,7:30,263,60
2022/09/26,7:35,265,65
2022/09/26,7:40,267,71
2022/09/26,7:45,270,75
2022/09/26,7:50,273,80
2022/09/26,7:55,275,84
2022/09/26,8:00,281,89
