2022/9/22 17:47 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1263,14:00～15:00,9月22日,17:42,28,78

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
990,14:00～15:00,9月22日,17:42

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1139,16:00～17:00,9月22日,17:42,17,85

使用率ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
974,16:00～17:00,9月22日,17:42

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022/9/22,0:00,706,712,74,942
2022/9/22,1:00,697,700,73,951
2022/9/22,2:00,710,711,75,935
2022/9/22,3:00,743,741,80,928
2022/9/22,4:00,769,762,82,928
2022/9/22,5:00,779,761,85,914
2022/9/22,6:00,783,749,77,1013
2022/9/22,7:00,809,791,75,1068
2022/9/22,8:00,885,879,76,1152
2022/9/22,9:00,921,940,74,1243
2022/9/22,10:00,935,962,72,1288
2022/9/22,11:00,948,981,74,1280
2022/9/22,12:00,905,946,71,1271
2022/9/22,13:00,933,982,71,1296
2022/9/22,14:00,959,990,75,1263
2022/9/22,15:00,949,977,78,1206
2022/9/22,16:00,967,974,84,1139
2022/9/22,17:00,0,951,0,1128
2022/9/22,18:00,0,929,0,1167
2022/9/22,19:00,0,906,0,1160
2022/9/22,20:00,0,860,0,1143
2022/9/22,21:00,0,809,0,1106
2022/9/22,22:00,0,777,0,1077
2022/9/22,23:00,0,749,0,1045

最大使用率(%),時間帯
85,5:00～6:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
,,,,,

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
,,,

DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間隔値)(万kW),風力発電実績(5分間隔値)(万kW)
2022/9/22,0:00,722,0,10
2022/9/22,0:05,713,0,11
2022/9/22,0:10,720,0,12
2022/9/22,0:15,720,0,12
2022/9/22,0:20,715,0,13
2022/9/22,0:25,710,0,14
2022/9/22,0:30,708,0,14
2022/9/22,0:35,703,0,14
2022/9/22,0:40,702,0,14
2022/9/22,0:45,697,0,15
2022/9/22,0:50,697,0,15
2022/9/22,0:55,691,0,16
2022/9/22,1:00,688,0,17
2022/9/22,1:05,698,0,18
2022/9/22,1:10,700,0,19
2022/9/22,1:15,699,0,19
2022/9/22,1:20,704,0,20
2022/9/22,1:25,698,0,20
2022/9/22,1:30,693,0,20
2022/9/22,1:35,694,0,21
2022/9/22,1:40,697,0,21
2022/9/22,1:45,700,0,21
2022/9/22,1:50,692,0,21
2022/9/22,1:55,689,0,21
2022/9/22,2:00,698,0,21
2022/9/22,2:05,702,0,21
2022/9/22,2:10,706,0,21
2022/9/22,2:15,702,0,21
2022/9/22,2:20,705,0,21
2022/9/22,2:25,706,0,21
2022/9/22,2:30,701,0,21
2022/9/22,2:35,710,0,20
2022/9/22,2:40,714,0,20
2022/9/22,2:45,717,0,20
2022/9/22,2:50,717,0,21
2022/9/22,2:55,720,0,21
2022/9/22,3:00,727,0,21
2022/9/22,3:05,722,0,21
2022/9/22,3:10,731,0,22
2022/9/22,3:15,735,0,22
2022/9/22,3:20,742,0,22
2022/9/22,3:25,742,0,22
2022/9/22,3:30,744,0,22
2022/9/22,3:35,744,0,24
2022/9/22,3:40,751,0,24
2022/9/22,3:45,754,0,24
2022/9/22,3:50,755,0,25
2022/9/22,3:55,749,0,26
2022/9/22,4:00,756,0,26
2022/9/22,4:05,761,0,27
2022/9/22,4:10,767,0,27
2022/9/22,4:15,765,0,26
2022/9/22,4:20,765,0,25
2022/9/22,4:25,764,0,25
2022/9/22,4:30,770,0,24
2022/9/22,4:35,771,0,24
2022/9/22,4:40,771,0,25
2022/9/22,4:45,771,0,27
2022/9/22,4:50,774,0,27
2022/9/22,4:55,776,0,27
2022/9/22,5:00,779,0,28
2022/9/22,5:05,782,0,29
2022/9/22,5:10,783,0,30
2022/9/22,5:15,786,0,31
2022/9/22,5:20,787,0,31
2022/9/22,5:25,779,1,31
2022/9/22,5:30,784,2,31
2022/9/22,5:35,783,3,31
2022/9/22,5:40,772,5,33
