2022/9/30 10:10 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4611,13:00～14:00,9/30,9:50,22,81

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3778,13:00～14:00,9/30,9:50

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
2777,3:00～4:00,9/30,9:50,19,83

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2326,3:00～4:00,9/30,9:50

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022/9/30,0:00,2480,2468,72,3398
2022/9/30,1:00,2339,2340,82,2838
2022/9/30,2:00,2291,2304,81,2796
2022/9/30,3:00,2313,2326,83,2777
2022/9/30,4:00,2338,2354,82,2823
2022/9/30,5:00,2392,2403,82,2889
2022/9/30,6:00,2478,2515,81,3039
2022/9/30,7:00,2699,2745,81,3322
2022/9/30,8:00,3089,3141,81,3795
2022/9/30,9:00,3479,3451,83,4189
2022/9/30,10:00,0,3616,,4412
2022/9/30,11:00,0,3713,,4532
2022/9/30,12:00,0,3664,,4472
2022/9/30,13:00,0,3778,,4611
2022/9/30,14:00,0,3775,,4607
2022/9/30,15:00,0,3731,,4553
2022/9/30,16:00,0,3636,,4437
2022/9/30,17:00,0,3497,,4268
2022/9/30,18:00,0,3451,,4212
2022/9/30,19:00,0,3286,,4011
2022/9/30,20:00,0,3108,,3794
2022/9/30,21:00,0,2929,,3574
2022/9/30,22:00,0,2818,,3439
2022/9/30,23:00,0,2655,,3241

最大使用率(%),時間帯
83,9:00～10:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
,,,,,

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
,,,

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW),太陽光発電量(電力使用量に対する割合)(%)
2022/9/30,0:00,2580,0,0
2022/9/30,0:05,2559,0,0
2022/9/30,0:10,2540,0,0
2022/9/30,0:15,2534,0,0
2022/9/30,0:20,2505,0,0
2022/9/30,0:25,2483,0,0
2022/9/30,0:30,2480,0,0
2022/9/30,0:35,2456,0,0
2022/9/30,0:40,2427,0,0
2022/9/30,0:45,2419,0,0
2022/9/30,0:50,2395,0,0
2022/9/30,0:55,2382,0,0
2022/9/30,1:00,2371,0,0
2022/9/30,1:05,2388,0,0
2022/9/30,1:10,2361,0,0
2022/9/30,1:15,2351,0,0
2022/9/30,1:20,2340,0,0
2022/9/30,1:25,2343,0,0
2022/9/30,1:30,2330,0,0
2022/9/30,1:35,2332,0,0
2022/9/30,1:40,2311,0,0
2022/9/30,1:45,2317,0,0
2022/9/30,1:50,2315,0,0
2022/9/30,1:55,2305,0,0
2022/9/30,2:00,2300,0,0
2022/9/30,2:05,2295,0,0
2022/9/30,2:10,2296,0,0
2022/9/30,2:15,2284,0,0
2022/9/30,2:20,2291,0,0
2022/9/30,2:25,2284,0,0
2022/9/30,2:30,2288,0,0
2022/9/30,2:35,2296,0,0
2022/9/30,2:40,2285,0,0
2022/9/30,2:45,2292,0,0
2022/9/30,2:50,2296,0,0
2022/9/30,2:55,2291,0,0
2022/9/30,3:00,2300,0,0
2022/9/30,3:05,2307,0,0
2022/9/30,3:10,2304,0,0
2022/9/30,3:15,2312,0,0
2022/9/30,3:20,2304,0,0
2022/9/30,3:25,2309,0,0
2022/9/30,3:30,2308,0,0
2022/9/30,3:35,2315,0,0
2022/9/30,3:40,2313,0,0
2022/9/30,3:45,2326,0,0
2022/9/30,3:50,2331,0,0
2022/9/30,3:55,2328,0,0
2022/9/30,4:00,2327,0,0
2022/9/30,4:05,2330,0,0
2022/9/30,4:10,2329,0,0
2022/9/30,4:15,2324,0,0
2022/9/30,4:20,2330,0,0
2022/9/30,4:25,2315,0,0
2022/9/30,4:30,2332,0,0
2022/9/30,4:35,2341,0,0
2022/9/30,4:40,2347,0,0
2022/9/30,4:45,2355,0,0
2022/9/30,4:50,2353,0,0
2022/9/30,4:55,2369,0,0
2022/9/30,5:00,2371,0,0
2022/9/30,5:05,2388,0,0
2022/9/30,5:10,2393,0,0
2022/9/30,5:15,2397,0,0
2022/9/30,5:20,2396,0,0
2022/9/30,5:25,2406,0,0
