都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計
01,北海道,01100,札幌市,"1,813 ",237 ,71 ,"2,121 ","3,939 ","4,453 ","8,391 ","1,709 ",852 ,110 ,0 ,"2,671 ",208 ,"13,392 "
01,北海道,01202,函館市,576 ,34 ,31 ,641 ,590 ,687 ,"1,277 ",304 ,169 ,17 ,205 ,694 ,27 ,"2,640 "
01,北海道,01203,小樽市,518 ,13 ,29 ,560 ,265 ,331 ,596 ,116 ,73 ,8 ,68 ,266 ,0 ,"1,422 "
01,北海道,01204,旭川市,620 ,55 ,44 ,719 ,663 ,816 ,"1,479 ",385 ,228 ,21 ,0 ,634 ,10 ,"2,842 "
01,北海道,01205,室蘭市,"2,611 ",19 ,6 ,"2,636 ",191 ,234 ,425 ,103 ,54 ,6 ,87 ,250 ,17 ,"3,328 "
01,北海道,01206,釧路市,825 ,27 ,61 ,912 ,363 ,448 ,811 ,221 ,151 ,11 ,78 ,460 ,4 ,"2,188 "
01,北海道,01207,帯広市,336 ,30 ,55 ,421 ,364 ,384 ,748 ,218 ,152 ,10 ,0 ,380 ,29 ,"1,577 "
01,北海道,01208,北見市,416 ,20 ,62 ,498 ,240 ,283 ,524 ,152 ,118 ,8 ,0 ,277 ,11 ,"1,309 "
01,北海道,01209,夕張市,35 ,2 ,7 ,44 ,17 ,33 ,50 ,14 ,8 ,1 ,0 ,23 ,0 ,117 
01,北海道,01210,岩見沢市,197 ,10 ,62 ,269 ,136 ,203 ,339 ,99 ,72 ,6 ,0 ,177 ,1 ,786 
01,北海道,01211,網走市,128 ,6 ,43 ,177 ,75 ,90 ,165 ,48 ,37 ,2 ,5 ,92 ,0 ,434 
01,北海道,01212,留萌市,71 ,6 ,5 ,83 ,44 ,63 ,106 ,27 ,18 ,2 ,6 ,53 ,0 ,242 
01,北海道,01213,苫小牧市,"2,416 ",36 ,40 ,"2,493 ",350 ,381 ,731 ,200 ,183 ,10 ,176 ,569 ,26 ,"3,819 "
