都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計,
1 ,北海道,1100,札幌市,"1,435 ",166 ,58 ,"1,659 ","3,809 ","5,207 ","9,015 ","1,369 ",739 ,122 ,0 ,"2,230 ",158 ,"13,062 ",
1 ,北海道,1202,函館市,421 ,24 ,21 ,466 ,494 ,691 ,"1,184 ",229 ,128 ,16 ,228 ,601 ,35 ,"2,287 ",
1 ,北海道,1203,小樽市,415 ,7 ,5 ,427 ,214 ,308 ,522 ,81 ,58 ,7 ,64 ,210 ,16 ,"1,174 ",
1 ,北海道,1204,旭川市,544 ,31 ,34 ,609 ,615 ,866 ,"1,481 ",307 ,189 ,21 ,0 ,516 ,17 ,"2,623 ",
1 ,北海道,1205,室蘭市,987 ,12 ,1 ,"1,000 ",164 ,222 ,385 ,76 ,42 ,5 ,42 ,165 ,13 ,"1,563 ",
1 ,北海道,1206,釧路市,592 ,16 ,27 ,635 ,320 ,460 ,780 ,168 ,122 ,10 ,70 ,370 ,18 ,"1,802 ",
1 ,北海道,1207,帯広市,394 ,20 ,42 ,455 ,345 ,429 ,774 ,178 ,127 ,10 ,0 ,315 ,12 ,"1,556 ",
1 ,北海道,1208,北見市,161 ,14 ,50 ,225 ,209 ,300 ,510 ,121 ,102 ,7 ,0 ,230 ,11 ,976 ,
1 ,北海道,1209,夕張市,27 ,1 ,2 ,30 ,12 ,22 ,34 ,7 ,5 ,0 ,0 ,13 ,0 ,77 ,
1 ,北海道,1210,岩見沢市,202 ,7 ,35 ,244 ,129 ,202 ,331 ,75 ,61 ,5 ,0 ,141 ,10 ,727 ,
1 ,北海道,1211,網走市,115 ,4 ,37 ,156 ,71 ,88 ,160 ,36 ,32 ,2 ,5 ,75 ,0 ,390 ,
1 ,北海道,1212,留萌市,21 ,3 ,4 ,28 ,42 ,56 ,97 ,18 ,15 ,1 ,4 ,39 ,0 ,164 ,
1 ,北海道,1213,苫小牧市,"3,234 ",23 ,16 ,"3,273 ",297 ,436 ,733 ,173 ,178 ,11 ,200 ,562 ,15 ,"4,582 ",
1 ,北海道,1214,稚内市,137 ,5 ,18 ,160 ,67 ,86 ,153 ,32 ,30 ,2 ,41 ,105 ,0 ,418 ,
1 ,北海道,1215,美唄市,36 ,3 ,11 ,49 ,34 ,56 ,90 ,20 ,19 ,1 ,0 ,40 ,0 ,180 ,
1 ,北海道,1216,芦別市,43 ,1 ,11 ,55 ,19 ,36 ,55 ,12 ,10 ,1 ,0 ,22 ,0 ,132 ,
1 ,北海道,1217,江別市,236 ,8 ,17 ,260 ,140 ,283 ,422 ,96 ,50 ,7 ,0 ,154 ,17 ,854 ,
1 ,北海道,1218,赤平市,54 ,1 ,2 ,57 ,16 ,28 ,44 ,9 ,7 ,1 ,0 ,17 ,1 ,119 ,
1 ,北海道,1219,紋別市,141 ,2 ,10 ,153 ,39 ,57 ,96 ,22 ,22 ,1 ,3 ,48 ,3 ,300 ,
1 ,北海道,1220,士別市,36 ,3 ,17 ,56 ,36 ,45 ,81 ,18 ,21 ,1 ,0 ,40 ,0 ,177 ,
1 ,北海道,1221,名寄市,56 ,2 ,7 ,66 ,59 ,70 ,129 ,25 ,24 ,2 ,0 ,51 ,0 ,246 ,
1 ,北海道,1222,三笠市,28 ,1 ,8 ,37 ,13 ,23 ,37 ,7 ,6 ,1 ,0 ,13 ,0 ,87 ,
1 ,北海道,1223,根室市,123 ,2 ,22 ,146 ,45 ,61 ,106 ,26 ,27 ,2 ,6 ,59 ,6 ,318 ,
1 ,北海道,1224,千歳市,593 ,5 ,19 ,618 ,191 ,244 ,434 ,110 ,53 ,6 ,0 ,169 ,8 ,"1,230 ",
