都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計
01,北海道,01100,札幌市,"1,204 ",165 ,66 ,"1,435 ","3,315 ","4,049 ","7,363 ","1,583 ",773 ,115 ,0 ,"2,471 ",88 ,"11,357 "
01,北海道,01202,函館市,475 ,22 ,28 ,525 ,453 ,596 ,"1,049 ",278 ,152 ,17 ,163 ,611 ,28 ,"2,213 "
01,北海道,01203,小樽市,395 ,7 ,11 ,413 ,197 ,280 ,478 ,103 ,65 ,8 ,62 ,239 ,12 ,"1,141 "
01,北海道,01204,旭川市,445 ,31 ,48 ,523 ,560 ,725 ,"1,285 ",363 ,205 ,21 ,0 ,589 ,11 ,"2,408 "
01,北海道,01205,室蘭市,"2,900 ",13 ,1 ,"2,914 ",154 ,200 ,354 ,95 ,49 ,6 ,45 ,194 ,14 ,"3,476 "
01,北海道,01206,釧路市,621 ,16 ,50 ,686 ,293 ,391 ,683 ,202 ,138 ,11 ,71 ,422 ,21 ,"1,813 "
01,北海道,01207,帯広市,289 ,18 ,53 ,361 ,302 ,342 ,644 ,204 ,142 ,10 ,0 ,357 ,4 ,"1,366 "
01,北海道,01208,北見市,401 ,12 ,86 ,499 ,191 ,252 ,443 ,143 ,112 ,8 ,0 ,262 ,11 ,"1,215 "
01,北海道,01209,夕張市,29 ,1 ,3 ,33 ,14 ,25 ,39 ,11 ,7 ,1 ,0 ,19 ,0 ,91 
01,北海道,01210,岩見沢市,149 ,7 ,63 ,218 ,116 ,177 ,293 ,92 ,67 ,5 ,0 ,165 ,1 ,677 
01,北海道,01211,網走市,103 ,4 ,47 ,155 ,63 ,77 ,140 ,44 ,35 ,2 ,5 ,87 ,0 ,382 
01,北海道,01212,留萌市,45 ,3 ,6 ,53 ,41 ,51 ,92 ,24 ,17 ,1 ,4 ,46 ,0 ,192 
01,北海道,01213,苫小牧市,"2,447 ",21 ,23 ,"2,491 ",270 ,347 ,617 ,193 ,176 ,11 ,170 ,550 ,28 ,"3,685 "
